Mob Name,Mods,,,,,,,,,,,,,,,,,
/Lotus/Language/Bosses/Bossseargentnefanyo (Spaceman/Vip/SniperBoss),Schockberührung (/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Spannungsspule (/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Munitionsgurt (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Diebesgespür (/Lotus/Upgrades/Mods/Warframe/AvatarLootRadarMod),,,,,,,,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorgenericname (AIWeek/GrineerMeleeStaff),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusionskern (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Nordwind (/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Spannungsspule (/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Druckpunkt (/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Erschlage Grineer (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageGrineer),Punktangriff (/Lotus/Upgrades/Mods/Rifle/WeaponCritChanceMod),Schnelle Hände (/Lotus/Upgrades/Mods/Rifle/WeaponReloadSpeedMod),Fluss (/Lotus/Upgrades/Mods/Warframe/AvatarPowerMaxMod),,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorleaderdeltaelecname (AIWeek/DeltaProsecutorLeader),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusionskern (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Reserve Magazine (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Donnerschlag (/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Reinige Corpus (/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Feuerfest (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Feindgespür (/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),,,,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorleaderelecname (AIWeek/GrineerMeleeStaffLeader),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusionskern (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Reserve Magazine (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Donnerschlag (/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Reinige Corpus (/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Feuerfest (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Feindgespür (/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),,,,,,,,,,
/Lotus/Language/G1quests/Spyquestboilerminiboss (AiWeek/Ancients/SpawningAncientMiniboss),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Ausweider (/Lotus/Upgrades/Mods/Melee/WeaponCritDamageMod),Streifenmagazin (/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Hornissenstich (/Lotus/Upgrades/Mods/Pistol/WeaponDamageAmountMod),/Lotus/Language/Items/Uniqueweaponmodexplosionradius (/Lotus/Upgrades/Mods/Rifle/WeaponIncreaseRadialExplosionMod),Schnelle Ablenkung (/Lotus/Upgrades/Mods/Sentinel/SentinelShieldRechargeRateMod),/Lotus/Language/Items/Slashdamageshotgunmod (/Lotus/Upgrades/Mods/Shotgun/WeaponSlashDamageMod),Pelzmantel (/Lotus/Upgrades/Mods/Warframe/AvatarMissionSpecificResistanceIce),/Lotus/Language/Items/Punchkickstanceb (/Lotus/Weapons/Tenno/Melee/MeleeTrees/PunchKickCmbTwoMeleeTree),,,,,,,,
/Lotus/Language/Game/Aladv (Vip/AladV/AladBoss),Streifenmagazin (/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Flammenladung (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Revolverheld (/Lotus/Upgrades/Mods/Pistol/WeaponFireRateMod),Schnelles Ziehen (/Lotus/Upgrades/Mods/Pistol/WeaponReloadSpeedMod),Fokus (/Lotus/Upgrades/Mods/Warframe/AvatarAbilityStrengthMod),Vitalität (/Lotus/Upgrades/Mods/Warframe/AvatarHealthMaxMod),,,,,,,,,,,,
/Lotus/Language/Game/Bossambulas (BipedRobot/Vip/BossBiped),Geschmolzener Einschlag (/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Druckpunkt (/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Flammenladung (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Munitionsgurt (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Höllenfeuer (/Lotus/Upgrades/Mods/Rifle/WeaponFireDamageMod),Schnelle Ableitung (/Lotus/Upgrades/Mods/Warframe/AvatarShieldRechargeRateMod),,,,,,,,,,,,
/Lotus/Language/Game/Controlriotmoaname (BipedRobot/AIWeek/RiotBipedControl),Revenge (/Lotus/Types/Sentinels/SentinelPrecepts/Revenge),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),/Lotus/Language/Items/Channelvampiremod (/Lotus/Upgrades/Mods/Melee/Channel/ChannelVampireMod),Nordwind (/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Erschlage Grineer (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageGrineer),Trommelmagazin (/Lotus/Upgrades/Mods/Rifle/WeaponAmmoMaxMod),,,,,,,,,,,,
/Lotus/Language/Game/Corpusflakshipname (SpaceBattles/Ships/FlakShip),/Lotus/Language/Items/Archwingmeleefireratemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeFireRateMod),/Lotus/Language/Items/Archwingsuithealthmaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitHealthMaxMod),/Lotus/Language/Items/Archwingsuitshieldrechargeratemod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitShieldRechargeRateMod),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemanthreename (SpaceBattles/CrewMan/JetpackMarineThree),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemantwoname (SpaceBattles/CrewMan/JetpackMarineTwo),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
/Lotus/Language/Game/Corpuslasershipname (SpaceBattles/Ships/LaserShip),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusionskern (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
/Lotus/Language/Game/Corpusminijackal (QuadRobot/MiniBoss/QuadRobotMiniBoss),Common Fusionskern (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusionskern (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Ausweider (/Lotus/Upgrades/Mods/Melee/WeaponCritDamageMod),Sturmbringer (/Lotus/Upgrades/Mods/Rifle/WeaponElectricityDamageMod),,,,,,,,,,,,,,
