Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance,Tier
Apollodorus,Merkur,Survival,Grineer,/Lotus/Types/Game/GrineerSurvivalMercury,,20 - 50,0.2,0
Lares,Merkur,Defense,Grineer,/Lotus/Types/Game/GrineerDefenseA,,20 - 50,0.2,0
Caloris,Merkur,Capture,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Elion,Merkur,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Terminus,Merkur,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
M Prime,Merkur,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Tolstoj,Merkur,Assassination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
,Merkur,Assassination,Grineer,,,20 - 50,0.2,0
Balor,Merkur,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadSabotageEvent,,20 - 50,0.2,0
,Merkur,Assassination,Grineer,,,20 - 50,0.2,1
,Merkur,Assassination,Grineer,,,20 - 50,0.2,1
Neruda,Merkur,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,1
Eminescu,Merkur,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,1
Boethius,Merkur,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadFour,,20 - 50,0.2,1
,Merkur,Assassination,Grineer,,,20 - 50,0.2,1
,Merkur,Assassination,Grineer,,,20 - 50,0.2,1
,Merkur,Assassination,Grineer,,,20 - 50,0.2,1
,Merkur,Assassination,Grineer,,,20 - 50,0.2,1
,Merkur,Assassination,Grineer,,,20 - 50,0.2,2
,Merkur,Assassination,Grineer,,,20 - 50,0.2,2
,Merkur,Assassination,Grineer,,,20 - 50,0.2,2
,Merkur,Assassination,Grineer,,,20 - 50,0.2,2
Odin,Merkur,Interception,Grineer,/Lotus/Types/Game/GrineerDefenseA,,20 - 50,0.2,2
Suisei,Merkur,Capture,Grineer,/Lotus/Types/Game/GrineerSquadFive,,20 - 50,0.2,2
Pantheon,Merkur,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadTwo,,20 - 50,0.2,2
Verdi,Merkur,Deception,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,2
,Merkur,Assassination,Grineer,,,20 - 50,0.2,2
,Venus,Assassination,Grineer,,,20 - 40,0.2,0
V Prime,Venus,Rescue,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
Ishtar,Venus,Capture,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
Aphrodite,Venus,Capture,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
Vesper,Venus,Spy,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
