Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
Orokin Derelict Capture(/Lotus/StoreItems/Types/Keys/DerelictCaptureKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),2500,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),750,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),80,,1500,
/Lotus/StoreItems/Types/Keys/TestKeySurvival,Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),9000,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),9000,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),80,60,5000,5
Orokin Derelict Defense(/Lotus/StoreItems/Types/Keys/DerelictDefenseKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),2500,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),750,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),80,,1500,
Orokin Derelict Exterminate(/Lotus/StoreItems/Types/Keys/DerelictExterminateKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),2500,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),750,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),80,,1500,
Orokin Derelict Survival(/Lotus/StoreItems/Types/Keys/DerelictSurvivalKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),2500,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),750,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),80,,1500,
Clanschlüssel(/Lotus/StoreItems/Types/Keys/DojoKey),Morphide(/Lotus/Types/Items/MiscItems/Morphic),1,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),500,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),500,,,43200,,10
Orokin Derelict Assassinate(/Lotus/StoreItems/Types/Keys/DerelictGolemKey),Golem Nav Coordinate(/Lotus/Types/Items/MiscItems/BossNavCode),5,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),4000,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),1000,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),100,3600,2500,10
Tethra Shield Cipher(/Lotus/StoreItems/Types/Keys/NightmareKeyShipyardsRetrieval),Tethra Data Fragments(/Lotus/Types/Items/MiscItems/DataFragment),6,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),1000,,,,,60,,5
Tethra Cipher(/Lotus/StoreItems/Types/Keys/TestKeyShipyardsRetrieval),Tethra Data Fragments(/Lotus/Types/Items/MiscItems/DataFragment),3,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),1000,,,,,60,,5
Vay Hek Frequency Triangulator(/Lotus/StoreItems/Types/Keys/VeyHekKey),Delta Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentA),2,Gamma Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentB),4,Kappa Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentC),8,Omega Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentD),12,3600,10000,10
Scindo(/Lotus/StoreItems/Weapons/Tenno/Melee/Axe/AxeWeapon),Gallium(/Lotus/Types/Items/MiscItems/Gallium),3,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),750,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),300,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),500,43200,15000,
Afuris(/Lotus/StoreItems/Weapons/Tenno/Akimbo/AkimboAutoPistols),Furis(/Lotus/Weapons/Tenno/Pistol/AutoPistol),1,Furis(/Lotus/Weapons/Tenno/Pistol/AutoPistol),1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,15000,
Akbolto(/Lotus/StoreItems/Weapons/Tenno/Akimbo/AkimboBolto),Bolto(/Lotus/Weapons/Tenno/Pistol/CrossBow),1,Bolto(/Lotus/Weapons/Tenno/Pistol/CrossBow),1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,15000,
Akbronco Prime(/Lotus/StoreItems/Weapons/Tenno/Akimbo/PrimeAkimboShotGun),Bronco Prime(/Lotus/Weapons/Tenno/Pistol/BroncoPrime),1,Bronco Prime(/Lotus/Weapons/Tenno/Pistol/BroncoPrime),1,WeaponParts/AkbroncoPrimeLink,1,,,43200,,50
Aklex(/Lotus/StoreItems/Weapons/Tenno/Akimbo/AkLexPistols),Lex(/Lotus/Weapons/Tenno/Pistol/HeavyPistol),1,Lex(/Lotus/Weapons/Tenno/Pistol/HeavyPistol),1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,20000,
Ankyros Prime(/Lotus/StoreItems/Weapons/Tenno/Melee/Gauntlet/PrimeAnkyros/PrimeAnkyros),WeaponParts/AnkyrosPrimeBlade,2,WeaponParts/AnkyrosPrimeGauntlet,2,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,,,43200,,50
Cernos(/Lotus/StoreItems/Weapons/Tenno/Bows/AntlerBow/AntlerBow),Gallium(/Lotus/Types/Items/MiscItems/Gallium),3,Plastide(/Lotus/Types/Items/MiscItems/Plastids),700,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),600,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),1750,43200,20000,45
Ballistica(/Lotus/StoreItems/Weapons/Tenno/Pistols/AutomaticHandCrossbow/AutoCrossBow),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),3,Gallium(/Lotus/Types/Items/MiscItems/Gallium),4,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),3000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),1200,86400,40000,
Boar Prime(/Lotus/StoreItems/Weapons/Tenno/Shotgun/PrimeBoar),WeaponParts/BoarPrimeBarrel,1,WeaponParts/BoarPrimeReceiver,1,WeaponParts/BoarPrimeStock,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,43200,,50
Bolto(/Lotus/StoreItems/Weapons/Tenno/Pistol/CrossBow),Lato(/Lotus/Weapons/Tenno/Pistol/Pistol),1,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),800,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),2,Neuroden(/Lotus/Types/Items/MiscItems/Neurode),2,43200,15000,
Boltor(/Lotus/StoreItems/Weapons/Tenno/Rifle/BoltoRifle),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),2,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),100,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),900,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),600,86400,15000,
Boltor Prime(/Lotus/StoreItems/Weapons/Tenno/LongGuns/PrimeBoltor/PrimeBoltor),WeaponParts/BoltorPrimeBarrel,1,WeaponParts/BoltorPrimeReceiver,1,WeaponParts/BoltorPrimeStock,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,43200,,50
Kestrel(/Lotus/StoreItems/Weapons/Tenno/Melee/Glaives/Boomerang/BoomerangWeapon),Morphide(/Lotus/Types/Items/MiscItems/Morphic),8,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),4800,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),5000,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),4000,43200,20000,50
Paris Prime(/Lotus/StoreItems/Weapons/Tenno/Bows/PrimeHuntingBow),WeaponParts/PrimeBowLowerLimb,1,WeaponParts/PrimeBowUpperLimb,1,WeaponParts/PrimeBowGrip,1,WeaponParts/PrimeBowString,1,43200,,50
Brakk(/Lotus/StoreItems/Weapons/Grineer/Pistols/GrineerHandShotgun/GrineerHandCannon),WeaponParts/BrakkBarrel,1,WeaponParts/BrakkReceiver,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,,,43200,15000,50
Braton Prime(/Lotus/StoreItems/Weapons/Tenno/Rifle/BratonPrime),WeaponParts/BratonPrimeBarrel,1,WeaponParts/BratonPrimeReceiver,1,WeaponParts/BratonPrimeStock,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,43200,,50
Bronco(/Lotus/StoreItems/Weapons/Tenno/Pistol/HandShotGun),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),2,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),1200,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),700,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),800,43200,15000,
Bronco Prime(/Lotus/StoreItems/Weapons/Tenno/Pistol/BroncoPrime),WeaponParts/BroncoPrimeBarrel,1,WeaponParts/BroncoPrimeReceiver,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,,,43200,,50
Burston Prime(/Lotus/StoreItems/Weapons/Tenno/LongGuns/PrimeBurston/PrimeBurston),WeaponParts/BurstonPrimeBarrel,1,WeaponParts/BurstonPrimeReceiver,1,WeaponParts/BurstonPrimeStock,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,43200,,50
Burston(/Lotus/StoreItems/Weapons/Tenno/Rifle/BurstRifle),Morphide(/Lotus/Types/Items/MiscItems/Morphic),1,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),150,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),600,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),400,43200,15000,
Ceramic-Dolch(/Lotus/StoreItems/Weapons/Tenno/Melee/Dagger/CeramicDagger),Gallium(/Lotus/Types/Items/MiscItems/Gallium),4,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),500,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),500,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),600,43200,,
Dragon Nikana(/Lotus/StoreItems/Weapons/Tenno/Melee/Swords/KatanaAndWakizashi/LowKatana),Argon Crystal(/Lotus/Types/Items/MiscItems/ArgonCrystal),1,Oxium(/Lotus/Types/Items/MiscItems/OxiumAlloy),75,Nikana(/Lotus/Weapons/Tenno/Melee/Swords/KatanaAndWakizashi/Katana),1,,,43200,30000,35
Detron(/Lotus/StoreItems/Weapons/Corpus/Pistols/CorpusHandShotgun/CorpusHandCannon),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),5,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),700,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),600,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),500,86400,,
Cestra(/Lotus/StoreItems/Weapons/Corpus/Pistols/CorpusMinigun/CorpusMinigun),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),2,Gallium(/Lotus/Types/Items/MiscItems/Gallium),4,Nanosporen(/Lotus/Types/Items/MiscItems/Nanospores),3000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),1200,86400,20000,
Tetra(/Lotus/StoreItems/Weapons/Corpus/LongGuns/CorpusUMP/CorpusUMP),Steuermodul(/Lotus/Types/Items/MiscItems/ControlModule),2,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),400,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),900,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),100,86400,30000,40
Lecta(/Lotus/StoreItems/Weapons/Corpus/Melee/Whip/CorpusWhipWeapon),Morphide(/Lotus/Types/Items/MiscItems/Morphic),2,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),900,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),1000,Neurale Sensoren(/Lotus/Types/Items/MiscItems/NeuralSensor),3,43200,30000,35
Nami Skyla(/Lotus/StoreItems/Weapons/Tenno/Melee/Swords/CutlassAndPoignard/CutlassPoignardSwords),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),2,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),800,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),200,Gallium(/Lotus/Types/Items/MiscItems/Gallium),10,43200,20000,35
Dark-Dolch(/Lotus/StoreItems/Weapons/Tenno/Melee/Dagger/DarkDagger),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),2,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),500,Plastide(/Lotus/Types/Items/MiscItems/Plastids),500,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),300,43200,,
Detron(/Lotus/StoreItems/Weapons/Corpus/Pistols/CorpusHandShotgun/CorpusHandCannon),WeaponParts/DetronBarrel,1,WeaponParts/DetronReceiver,1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),10,,,43200,,50
Sobek(/Lotus/StoreItems/Weapons/Tenno/Shotgun/DoubleBarrelShotgun),Neuroden(/Lotus/Types/Items/MiscItems/Neurode),5,Schaltkreise(/Lotus/Types/Items/MiscItems/Circuits),500,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),900,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),400,86400,25000,
Doppel-Zoren(/Lotus/StoreItems/Weapons/Tenno/Melee/Axe/DualAxeWeapon),Morphide(/Lotus/Types/Items/MiscItems/Morphic),4,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),900,Ferrit(/Lotus/Types/Items/MiscItems/Ferrite),1100,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),800,43200,15000,35
Dual Broncos(/Lotus/StoreItems/Weapons/Tenno/Akimbo/AkimboShotGun),Bronco(/Lotus/Weapons/Tenno/Pistol/HandShotGun),1,Bronco(/Lotus/Weapons/Tenno/Pistol/HandShotGun),1,Orokin-Zelle(/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,20000,
Doppel-Hackbeil(/Lotus/StoreItems/Weapons/Grineer/Melee/GrineerMachetteAndCleaver/DualCleaverWeapon),Gallium(/Lotus/Types/Items/MiscItems/Gallium),5,Bergungsgut(/Lotus/Types/Items/MiscItems/Salvage),1000,Polymerbündel(/Lotus/Types/Items/MiscItems/PolymerBundle),800,Legierungsplatten(/Lotus/Types/Items/MiscItems/AlloyPlate),1200,43200,25000,40
