Mob Name,Mods,,,,,,,,,
GrineerMarinePistol,Antimatter Drop(/Lotus/Powersuits/AntiMatter/AntiMatterDropAbilityCard),Blade Storm(/Lotus/Powersuits/Ninja/NinjaStormAbilityCard),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Killing Blow(/Lotus/Upgrades/Mods/Melee/WeaponMeleeHeavyDamageMod),Barrel Diffusion(/Lotus/Upgrades/Mods/Pistol/WeaponFireIterationsMod),Sawtooth Clip(/Lotus/Upgrades/Mods/Rifle/WeaponSlashDamageMod),Fast Deflection(/Lotus/Upgrades/Mods/Sentinel/SentinelShieldRechargeRateMod),Crushing Ruin(/Lotus/Weapons/Tenno/Melee/MeleeTrees/HammerCmbTwoMeleeTree),Shimmering Blight(/Lotus/Weapons/Tenno/Melee/MeleeTrees/PolearmCmbOneMeleeTree),
Forest/GrineerMarinePistol,Antimatter Drop(/Lotus/Powersuits/AntiMatter/AntiMatterDropAbilityCard),Blade Storm(/Lotus/Powersuits/Ninja/NinjaStormAbilityCard),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Killing Blow(/Lotus/Upgrades/Mods/Melee/WeaponMeleeHeavyDamageMod),Barrel Diffusion(/Lotus/Upgrades/Mods/Pistol/WeaponFireIterationsMod),Sawtooth Clip(/Lotus/Upgrades/Mods/Rifle/WeaponSlashDamageMod),Fast Deflection(/Lotus/Upgrades/Mods/Sentinel/SentinelShieldRechargeRateMod),Crushing Ruin(/Lotus/Weapons/Tenno/Melee/MeleeTrees/HammerCmbTwoMeleeTree),Shimmering Blight(/Lotus/Weapons/Tenno/Melee/MeleeTrees/PolearmCmbOneMeleeTree),
Arid Seeker (Desert/GrineerMarinePistol),Antimatter Drop(/Lotus/Powersuits/AntiMatter/AntiMatterDropAbilityCard),Blade Storm(/Lotus/Powersuits/Ninja/NinjaStormAbilityCard),Barrel Diffusion(/Lotus/Upgrades/Mods/Pistol/WeaponFireIterationsMod),Sawtooth Clip(/Lotus/Upgrades/Mods/Rifle/WeaponSlashDamageMod),Fast Deflection(/Lotus/Upgrades/Mods/Sentinel/SentinelShieldRechargeRateMod),Crushing Ruin(/Lotus/Weapons/Tenno/Melee/MeleeTrees/HammerCmbTwoMeleeTree),Shimmering Blight(/Lotus/Weapons/Tenno/Melee/MeleeTrees/PolearmCmbOneMeleeTree),,,
Raptor (Drones/Vip/DroneAttack),Molecular Prime(/Lotus/Powersuits/AntiMatter/MolecularPrimeAbilityCard),Split Chamber(/Lotus/Upgrades/Mods/Rifle/WeaponFireIterationsMod),,,,,,,,
Mine Osprey (Drones/AIWeek/MineDrone),Null Star(/Lotus/Powersuits/AntiMatter/NullStarAbilityCard),Shuriken(/Lotus/Powersuits/Ninja/GlaiveAbilityCard),Bounce(/Lotus/Powersuits/Trapper/BounceTrapAbilityCard),Speed(/Lotus/Powersuits/Volt/SpeedAbilityCard),Metal Auger(/Lotus/Upgrades/Mods/Rifle/WeaponPunctureDepthMod),,,,,
AIWeek/RollingDrone,Worm Hole(/Lotus/Powersuits/AntiMatter/WormHoleAbilityCard),Silence(/Lotus/Powersuits/Banshee/SilenceAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),True Steel(/Lotus/Upgrades/Mods/Melee/WeaponCritChanceMod),Trick Mag(/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Hellfire(/Lotus/Upgrades/Mods/Rifle/WeaponFireDamageMod),Vitality(/Lotus/Upgrades/Mods/Sentinel/SentinelHealthMaxMod),Fast Deflection(/Lotus/Upgrades/Mods/Warframe/AvatarShieldRechargeRateMod)
Shield Osprey (Drones/AIWeek/ShieldDrone),Worm Hole(/Lotus/Powersuits/AntiMatter/WormHoleAbilityCard),Silence(/Lotus/Powersuits/Banshee/SilenceAbilityCard),,,,,,,,
Vip/BossLechKril,Sound Quake(/Lotus/Powersuits/Banshee/EarthQuakeAbilityCard),Molten Impact(/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Killing Blow(/Lotus/Upgrades/Mods/Melee/WeaponMeleeHeavyDamageMod),Energy Channel(/Lotus/Upgrades/Mods/Melee/WeaponPowerDamageMod),Cryo Rounds(/Lotus/Upgrades/Mods/Rifle/WeaponFreezeDamageMod),Stretch(/Lotus/Upgrades/Mods/Warframe/AvatarAbilityRangeMod),,,,
Vip/HeavyRocketFemale,Sound Quake(/Lotus/Powersuits/Banshee/EarthQuakeAbilityCard),Molten Impact(/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Killing Blow(/Lotus/Upgrades/Mods/Melee/WeaponMeleeHeavyDamageMod),Energy Channel(/Lotus/Upgrades/Mods/Melee/WeaponPowerDamageMod),Cryo Rounds(/Lotus/Upgrades/Mods/Rifle/WeaponFreezeDamageMod),Stretch(/Lotus/Upgrades/Mods/Warframe/AvatarAbilityRangeMod),,,,
Vip/Hek/HekBiped,Sound Quake(/Lotus/Powersuits/Banshee/EarthQuakeAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Molten Impact(/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Killing Blow(/Lotus/Upgrades/Mods/Melee/WeaponMeleeHeavyDamageMod),Energy Channel(/Lotus/Upgrades/Mods/Melee/WeaponPowerDamageMod),Cryo Rounds(/Lotus/Upgrades/Mods/Rifle/WeaponFreezeDamageMod),Stretch(/Lotus/Upgrades/Mods/Warframe/AvatarAbilityRangeMod),
