Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
/Lotus/Language/Clantech/Acrid (/Lotus/StoreItems/Weapons/ClanTech/Bio/AcidDartPistol),/Lotus/Language/Clantech/Biocomponent (/Lotus/Types/Items/Research/BioComponent),5,/Lotus/Language/Items/Salvage (/Lotus/Types/Items/MiscItems/Salvage),6000,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),5000,/Lotus/Language/Items/Forma (/Lotus/Types/Items/MiscItems/Forma),1,86400,30000,35
/Lotus/Language/Clantech/Acrid (Research) (/Lotus/StoreItems/Weapons/ClanTech/Bio/AcidDartPistol),/Lotus/Language/Clantech/Biofragment (/Lotus/Types/Items/Research/BioFragment),1000,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),15000,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),100000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),50000,259200,750000,750
/Lotus/Language/Clantech/Biocomponent (/Lotus/StoreItems/Types/Items/Research/BioComponent),BioFragment,10,/Lotus/Language/Items/Controlmodule (/Lotus/Types/Items/MiscItems/ControlModule),1,/Lotus/Language/Items/Salvage (/Lotus/Types/Items/MiscItems/Salvage),500,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),250,43200,15000,25
/Lotus/Language/Clantech/Biocomponent (Research) (/Lotus/StoreItems/Types/Items/Research/BioComponent),BioFragment,500,/Lotus/Language/Items/Circuits (/Lotus/Types/Items/MiscItems/Circuits),15000,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),50000,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),10000,259200,500000,750
/Lotus/Language/Clantech/Chemcomponent (/Lotus/StoreItems/Types/Items/Research/ChemComponent),ChemFragment,10,/Lotus/Language/Items/Controlmodule (/Lotus/Types/Items/MiscItems/ControlModule),1,/Lotus/Language/Items/Salvage (/Lotus/Types/Items/MiscItems/Salvage),500,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),250,43200,15000,25
/Lotus/Language/Clantech/Chemcomponent (Research) (/Lotus/StoreItems/Types/Items/Research/ChemComponent),ChemFragment,500,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),20000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),25000,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),10000,259200,500000,750
/Lotus/Language/Clantech/Corpuslaserpistolname (/Lotus/StoreItems/Weapons/ClanTech/Energy/CrpLaserPistol),/Lotus/Language/Clantech/Energycomponent (/Lotus/Types/Items/Research/EnergyComponent),3,/Lotus/Language/Items/Circuits (/Lotus/Types/Items/MiscItems/Circuits),700,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),5000,/Lotus/Language/Items/Forma (/Lotus/Types/Items/MiscItems/Forma),1,86400,,35
/Lotus/Language/Clantech/Corpuslaserpistolname (Research) (/Lotus/StoreItems/Weapons/ClanTech/Energy/CrpLaserPistol),/Lotus/Language/Clantech/Energyfragment (/Lotus/Types/Items/Research/EnergyFragment),750,/Lotus/Language/Items/Circuits (/Lotus/Types/Items/MiscItems/Circuits),35000,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),75000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),35000,259200,750000,750
/Lotus/Language/Clantech/Crpheavyriflename (/Lotus/StoreItems/Weapons/ClanTech/Energy/CrpHeavyRifle),/Lotus/Language/Clantech/Energycomponent (/Lotus/Types/Items/Research/EnergyComponent),7,/Lotus/Language/Items/Alloyplate (/Lotus/Types/Items/MiscItems/AlloyPlate),1000,/Lotus/Language/Items/Salvage (/Lotus/Types/Items/MiscItems/Salvage),7000,/Lotus/Language/Items/Forma (/Lotus/Types/Items/MiscItems/Forma),1,86400,,35
/Lotus/Language/Clantech/Crpheavyriflename (Research) (/Lotus/StoreItems/Weapons/ClanTech/Energy/CrpHeavyRifle),/Lotus/Language/Clantech/Energyfragment (/Lotus/Types/Items/Research/EnergyFragment),1000,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),50000,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),25000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),50000,259200,1000000,750
/Lotus/Language/Clantech/Crplaserriflename (/Lotus/StoreItems/Weapons/ClanTech/Energy/CrpLaserRifle),/Lotus/Language/Clantech/Energycomponent (/Lotus/Types/Items/Research/EnergyComponent),5,/Lotus/Language/Items/Circuits (/Lotus/Types/Items/MiscItems/Circuits),900,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),6000,/Lotus/Language/Items/Forma (/Lotus/Types/Items/MiscItems/Forma),1,86400,,35
/Lotus/Language/Clantech/Crplaserriflename (Research) (/Lotus/StoreItems/Weapons/ClanTech/Energy/CrpLaserRifle),/Lotus/Language/Clantech/Energyfragment (/Lotus/Types/Items/Research/EnergyFragment),750,/Lotus/Language/Items/Circuits (/Lotus/Types/Items/MiscItems/Circuits),35000,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),75000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),35000,259200,750000,750
/Lotus/Language/Clantech/Energycomponent (/Lotus/StoreItems/Types/Items/Research/EnergyComponent),EnergyFragment,10,/Lotus/Language/Items/Controlmodule (/Lotus/Types/Items/MiscItems/ControlModule),1,/Lotus/Language/Items/Salvage (/Lotus/Types/Items/MiscItems/Salvage),500,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),250,43200,15000,25
/Lotus/Language/Clantech/Energycomponent (Research) (/Lotus/StoreItems/Types/Items/Research/EnergyComponent),EnergyFragment,500,/Lotus/Language/Items/Rubedo (/Lotus/Types/Items/MiscItems/Rubedo),10000,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),50000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),20000,259200,500000,750
/Lotus/Language/Clantech/Flamethrower (/Lotus/StoreItems/Weapons/ClanTech/Chemical/FlameThrower),/Lotus/Language/Clantech/Chemcomponent (/Lotus/Types/Items/Research/ChemComponent),2,/Lotus/Language/Items/Nanospores (/Lotus/Types/Items/MiscItems/Nanospores),5000,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),5000,/Lotus/Language/Items/Forma (/Lotus/Types/Items/MiscItems/Forma),1,86400,,35
/Lotus/Language/Clantech/Flamethrower (Research) (/Lotus/StoreItems/Weapons/ClanTech/Chemical/FlameThrower),/Lotus/Language/Clantech/Chemfragment (/Lotus/Types/Items/Research/ChemFragment),1000,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),40000,/Lotus/Language/Items/Polymerbundle (/Lotus/Types/Items/MiscItems/PolymerBundle),50000,/Lotus/Language/Items/Plastids (/Lotus/Types/Items/MiscItems/Plastids),15000,259200,500000,750
/Lotus/Language/Clantech/Grenadelaunchername (/Lotus/StoreItems/Weapons/Corpus/LongGuns/GrenadeLauncher/GrenadeLauncher),/Lotus/Language/Items/Controlmodule (/Lotus/Types/Items/MiscItems/ControlModule),3,/Lotus/Language/Items/Circuits (/Lotus/Types/Items/MiscItems/Circuits),1000,/Lotus/Language/Items/Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),1200,/Lotus/Language/Items/Alloyplate (/Lotus/Types/Items/MiscItems/AlloyPlate),400,86400,30000,40
