Deck,Enemy,Probability,Max Simultaneous,Tier
CorpusEvent,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.75,0,0
,Halieto De Escudo (Drones/AIWeek/ShieldDroneAgent),0.15000001,2,0
,Tripulante Francotirador (Spaceman/AIWeek/SniperSpacemanAgent),0.1,1,0
,Tech Corpus (Spaceman/AIWeek/DeployableSpacemanAgent),0.15000001,0,0
,Halieto De Minas (Drones/AIWeek/MineDroneAgent),0.02,0,0
,Moa Híbrido (BipedRobot/AIWeek/SuperMoaBipedAgent),0.050000001,0,0
,Moa Onda De Choque (BipedRobot/AIWeek/ShockwaveBipedAgent),0.25,0,0
,Moa Cañon Electrico (BipedRobot/AIWeek/RailgunBipedAgent),0.050000001,0,0
,Anti Moa (BipedRobot/AIWeek/LaserDiscBipedAgent),0.1,0,0
CorpusGrineerDesertMix,Tripulante (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Moa Onda De Choque (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Halieto De Escudo (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Tripulante Aguijón (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Moa Híbrido (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.1,0,0
,AIWeek/ShieldLancer,0.1,0,0
,GrineerMarineLeader,0.1,0,0
,Desert/RifleLancer,1,0,0
,Desert/EliteRifleLancer,1,0,0
,Desert/BladeSawman,0.30000001,0,0
,Desert/ShotgunLancer,0.25,0,0
,Desert/MinigunBombard,0.050000001,2,0
,Desert/EvisceratorLancer,0.1,2,0
,Desert/JetpackMarine,0.25,0,0
,Desert/GrineerMarinePistol,0.050000001,0,0
,/Lotus/Types/NeutralCreatures/SandRayCreature,0.25,3,0
,AIWeek/GrineerFemale,0.1,4,0
CorpusGrineerForestMix,Tripulante (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Moa Onda De Choque (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Halieto De Escudo (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Tripulante Aguijón (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Moa Híbrido (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,Forest/RifleLancer,1,0,0
,Forest/EliteRifleLancer,0.2,2,0
,Forest/BladeSawman,0.30000001,0,0
,Forest/ShotgunLancer,0.25,3,0
,Forest/MinigunBombard,0.050000001,2,0
,AIWeek/GrineerFemale,0.1,1,0
