Mob Name,Mods,,,,,,,,,,,,,,,,
/Lotus/Language/Bosses/Bossseargentnefanyo (Spaceman/Vip/SniperBoss),Toque Eléctrico (/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Espiral De Reflejo (/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Cargador Deformado (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),El Saber Del Ladron (/Lotus/Upgrades/Mods/Warframe/AvatarLootRadarMod),,,,,,,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorgenericname (AIWeek/GrineerMeleeStaff),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Viento Del Norte (/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Espiral De Reflejo (/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Punto De Presión (/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Castiga Grineer (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageGrineer),Punto De Impacto (/Lotus/Upgrades/Mods/Rifle/WeaponCritChanceMod),Manos Rapidas (/Lotus/Upgrades/Mods/Rifle/WeaponReloadSpeedMod),Flujo (/Lotus/Upgrades/Mods/Warframe/AvatarPowerMaxMod),,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorleaderdeltaelecname (AIWeek/DeltaProsecutorLeader),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Cargador Falso (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Estruendo (/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Limpieza De Corpus (/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Repelente De Llamas (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Sensor Enemigo (/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),,,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorleaderelecname (AIWeek/GrineerMeleeStaffLeader),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Cargador Falso (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Estruendo (/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Limpieza De Corpus (/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Repelente De Llamas (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Sensor Enemigo (/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),,,,,,,,,
/Lotus/Language/G1quests/Spyquestboilerminiboss (AiWeek/Ancients/SpawningAncientMiniboss),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Destructor De Organos (/Lotus/Upgrades/Mods/Melee/WeaponCritDamageMod),Desliz De Cargador (/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Golpe Avispa (/Lotus/Upgrades/Mods/Pistol/WeaponDamageAmountMod),/Lotus/Language/Items/Uniqueweaponmodexplosionradius (/Lotus/Upgrades/Mods/Rifle/WeaponIncreaseRadialExplosionMod),Desviación Rapida (/Lotus/Upgrades/Mods/Sentinel/SentinelShieldRechargeRateMod),/Lotus/Language/Items/Slashdamageshotgunmod (/Lotus/Upgrades/Mods/Shotgun/WeaponSlashDamageMod),Abrigo Cálido (/Lotus/Upgrades/Mods/Warframe/AvatarMissionSpecificResistanceIce),/Lotus/Language/Items/Punchkickstanceb (/Lotus/Weapons/Tenno/Melee/MeleeTrees/PunchKickCmbTwoMeleeTree),,,,,,,
/Lotus/Language/Game/Aladv (Vip/AladV/AladBoss),Desliz De Cargador (/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Carga Incendiaria (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Pistolero (/Lotus/Upgrades/Mods/Pistol/WeaponFireRateMod),Agarre Rapido (/Lotus/Upgrades/Mods/Pistol/WeaponReloadSpeedMod),Enfoque (/Lotus/Upgrades/Mods/Warframe/AvatarAbilityStrengthMod),Vitalidad (/Lotus/Upgrades/Mods/Warframe/AvatarHealthMaxMod),,,,,,,,,,,
/Lotus/Language/Game/Bossambulas (BipedRobot/Vip/BossBiped),Impacto De Magma (/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Punto De Presión (/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Carga Incendiaria (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Cargador Deformado (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Fuego Infernal (/Lotus/Upgrades/Mods/Rifle/WeaponFireDamageMod),Desviación Rapida (/Lotus/Upgrades/Mods/Warframe/AvatarShieldRechargeRateMod),,,,,,,,,,,
/Lotus/Language/Game/Corpusflakshipname (SpaceBattles/Ships/FlakShip),/Lotus/Language/Items/Archwingmeleefireratemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeFireRateMod),/Lotus/Language/Items/Archwingsuithealthmaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitHealthMaxMod),/Lotus/Language/Items/Archwingsuitshieldrechargeratemod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitShieldRechargeRateMod),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemanthreename (SpaceBattles/CrewMan/JetpackMarineThree),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemantwoname (SpaceBattles/CrewMan/JetpackMarineTwo),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,
/Lotus/Language/Game/Corpuslasershipname (SpaceBattles/Ships/LaserShip),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,
/Lotus/Language/Game/Corpusminijackal (QuadRobot/MiniBoss/QuadRobotMiniBoss),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Destructor De Organos (/Lotus/Upgrades/Mods/Melee/WeaponCritDamageMod),Tormenta (/Lotus/Upgrades/Mods/Rifle/WeaponElectricityDamageMod),,,,,,,,,,,,,
/Lotus/Language/Game/Corpuspodname (SpaceBattles/Ships/CrpPod),/Lotus/Language/Items/Archwingmeleefireratemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeFireRateMod),/Lotus/Language/Items/Archwingsuithealthmaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitHealthMaxMod),/Lotus/Language/Items/Archwingsuitshieldrechargeratemod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitShieldRechargeRateMod),Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
