Name,Category,In Market,Tradeable,Credit Price,Plat Price,Expiry
 (/Lotus/StoreItems/Types/Game/DojoDecorationRecipeItem),Recipes,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/DojoRecipeItem),Recipes,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/RecipeItem),Recipes,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/Plants/MiscItems/PlantItem),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Upgrades/Modules/RareGrineerMeleeModule),Upgrades,YES,YES,?,?,
 (/Lotus/StoreItems/Upgrades/Modules/RareGrineerRifleModule),Upgrades,YES,YES,?,?,
 (/Lotus/StoreItems/Upgrades/Modules/RareGrineerShotgunModule),Upgrades,YES,YES,?,?,
 (/Lotus/StoreItems/Upgrades/Modules/RareOrokinWarframeModule),Upgrades,YES,YES,?,?,
 (/Lotus/StoreItems/Upgrades/Modules/RarePistolModule),Upgrades,YES,YES,?,?,
 (/Lotus/StoreItems/Upgrades/Skins/Clan/BaseEventBadgeItem),WeaponSkins,NO,NO,?,10000,
 (/Lotus/StoreItems/Upgrades/Skins/Spectres/BronzeSpectreCustomization),WeaponSkins,NO,NO,?,?,
 (/Lotus/StoreItems/Upgrades/Skins/Spectres/GoldSpectreCustomization),WeaponSkins,NO,NO,?,?,
 (/Lotus/StoreItems/Upgrades/Skins/Spectres/PlatinumSpectreCustomization),WeaponSkins,NO,NO,?,?,
 (/Lotus/StoreItems/Upgrades/Skins/Spectres/SilverSpectreCustomization),WeaponSkins,NO,NO,?,?,
 (/Lotus/StoreItems/Upgrades/Skins/Spectres/SpectreCustomization),WeaponSkins,NO,NO,?,?,
/Lotus/Language/Dojo/Vaulttest Blueprint (/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/VaultTestRecipe),Recipes,NO,NO,?,?,
/Lotus/Language/Items/Clancreator (/Lotus/StoreItems/Types/Items/MiscItems/ClanCreator),MiscItems,NO,NO,?,?,
/Lotus/Language/Items/Clancreator (/Lotus/StoreItems/Types/Recipes/Components/ClanCreatorBlueprint),Recipes,NO,NO,?,?,
/Lotus/Language/Items/Protoexcaliburhelmetname (/Lotus/StoreItems/Upgrades/Skins/Excalibur/ExcaliburProtoHelmet),WeaponSkins,NO,NO,?,1000,
1000 Credits Cache (/Lotus/StoreItems/Types/PickUps/Credits/1000Credits),CreditBundles,NO,NO,-1000,?,
1500 Credits Cache (/Lotus/StoreItems/Types/PickUps/Credits/1500Credits),CreditBundles,NO,NO,-1500,?,
2000 Credits Cache (/Lotus/StoreItems/Types/PickUps/Credits/2000Credits),CreditBundles,NO,NO,-2000,?,
2500 Credits Cache (/Lotus/StoreItems/Types/PickUps/Credits/2500Credits),CreditBundles,NO,NO,-2500,?,
3000 Credits Cache (/Lotus/StoreItems/Types/PickUps/Credits/3000Credits),CreditBundles,NO,NO,-3000,?,
