Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance
Terminus,Mercurio,Extermination,Grineer,GrineerSquadOne,,0 - 0,0
M Prime,Mercurio,Sabotage,Grineer,GrineerSquadOne,,0 - 0,0
Elion,Mercurio,Mobile Defense,Grineer,GrineerSquadOne,,0 - 0,0
Lares,Mercurio,Defense,Grineer,GrineerDefenseA,DefenseMissionRewardsEasy,0 - 0,0
Caloris,Mercurio,Capture,Grineer,GrineerSquadOne,CaptureMissionRewardsA,0 - 0,0
Apollodorus,Mercurio,Survival,Grineer,GrineerSurvivalMercury,SurvivalLowLevelRewards,0 - 0,0
Tolstoj,Mercurio,Assassination,Grineer,GrineerSquadOne,SeerPistolRewards,0 - 0,0
Cytherean,Venus,Extermination,Corpus,CorpusSquadA,,0 - 0,0
V Prime,Venus,Rescue,Corpus,CorpusSquadA,,0 - 0,0
Ishtar,Venus,Capture,Corpus,CorpusSquadA,CaptureMissionRewardsA,0 - 0,0
E Gate,Venus,Survival,Corpus,CorpusSurvivalA,SurvivalLowLevelRewards,0 - 0,0
Vesper,Venus,Spy,Corpus,CorpusSquadA,IntelMissionRewardsA,0 - 0,0
Linea,Venus,Rescue,Corpus,CorpusSquadA,,0 - 0,0
Aphrodite,Venus,Capture,Corpus,CorpusSquadA,CaptureMissionRewardsA,0 - 0,0
Kiliken,Venus,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsEasy,0 - 0,0
Tessera,Venus,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Fossa,Venus,Assassination,Corpus,CorpusSquadA,RhinoRewards,0 - 0,0
Venera,Venus,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsEasy,0 - 0,0
Unda,Venus,Spy,Corpus,CorpusSquadA,IntelMissionRewardsA,0 - 0,0
Cambria,Tierra,Survival,Grineer,ForestGrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Everest,Tierra,Extermination,Grineer,ForestGrineerSquadOne,,0 - 0,0
Mariana,Tierra,Sabotage,Grineer,ForestGrineerSquadOne,ForestSabotageRewards,0 - 0,0
Lith,Tierra,Defense,Grineer,GrineerDefenseForest,DefenseMissionRewardsEasy,0 - 0,0
Mantle,Tierra,Capture,Grineer,ForestGrineerSquadOne,CaptureMissionRewardsA,0 - 0,0
Pacific,Tierra,Capture,Grineer,ForestGrineerSquadOne,CaptureMissionRewardsA,0 - 0,0
Lua,Tierra,Defense,Grineer,GrineerDefenseForest,DefenseMissionRewardsEasy,0 - 0,0
Oro,Tierra,Sabotage,Grineer,ForestGrineerSquadOne,ForestSabotageRewards,0 - 0,0
Eurasia,Tierra,Extermination,Grineer,ForestGrineerSquadOne,,0 - 0,0
Gaia,Tierra,Interception,Grineer,ForestGrineerTerritoriesOne,InterceptionMissionRewardsEasy,0 - 0,0
E Prime,Tierra,Extermination,Grineer,ForestGrineerSquadOne,,0 - 0,0
Arcadia,Marte,Survival,Corpus,CorpusSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Hellas,Marte,Mobile Defense,Corpus,CorpusSquadB,,0 - 0,0
Ares,Marte,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Tharsis,Marte,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Vallis,Marte,Rescue,Corpus,CorpusSquadC,RescueMissionRewardsEasy,0 - 0,0
Olympus,Marte,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Arval,Marte,Extermination,Corpus,CorpusSquadC,,0 - 0,0
Alator,Marte,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Silvanus,Marte,Extermination,Corpus,CorpusSquadD,,0 - 0,0
Augustus,Marte,Interception,Corpus,CorpusSquadB,InterceptionMissionRewardsMedium,0 - 0,0
Ara,Marte,Survival,Corpus,CorpusSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Ultor,Marte,Extermination,Corpus,CorpusSquadD,,0 - 0,0
Spear,Marte,Spy,Corpus,CorpusSquadC,IntelMissionRewardsA,0 - 0,0
Martialis,Marte,Spy,Corpus,CorpusSquadC,IntelMissionRewardsA,0 - 0,0
War,Marte,Assassination,Corpus,CorpusSquadA,MagRewards,0 - 0,0
Gradivus,Marte,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Quirinus,Marte,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Metis,Júpiter,Capture,Corpus,CorpusSquadD,,0 - 0,0
Adrastea,Júpiter,Extermination,Corpus,CorpusSquadD,,0 - 0,0
Amalthea,Júpiter,Sabotage,Corpus,CorpusSquadD,,0 - 0,0
Thebe,Júpiter,Deception,Corpus,CorpusSquadD,,0 - 0,0
Io,Júpiter,Defense,Corpus,CorpusSquadDefenseB,DefenseMissionRewardsEasy,0 - 0,0
Elara,Júpiter,Survival,Corpus,CorpusSurvivalB,SurvivalMidLevelRewards,0 - 0,0
Ganymede,Júpiter,Extermination,Corpus,CorpusSquadD,,0 - 0,0
Callisto,Júpiter,Interception,Corpus,CorpusSquadDefenseB,InterceptionMissionRewardsEasy,0 - 0,0
Themisto,Júpiter,Assassination,Corpus,CorpusSquadD,BerserkerRewards,0 - 0,0
Carpo,Júpiter,Extermination,Corpus,CorpusSquadD,,0 - 0,0
Carme,Júpiter,Mobile Defense,Corpus,CorpusSquadD,,0 - 0,0
Ananke,Júpiter,Capture,Corpus,CorpusSquadD,CaptureMissionRewardsA,0 - 0,0
Helene,Saturno,Defense,Grineer,GrineerDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Titan,Saturno,Sabotage,Grineer,GrineerSquadTwo,,0 - 0,0
Dione,Saturno,Sabotage,Grineer,GrineerSquadThree,,0 - 0,0
Enceladus,Saturno,Capture,Grineer,GrineerSquadThree,CaptureMissionRewardsA,0 - 0,0
Epimetheus,Saturno,Deception,Grineer,GrineerSquadFour,,0 - 0,0
Hyperion,Saturno,Extermination,Grineer,GrineerSquadSix,,0 - 0,0
Iapetus,Saturno,Interception,Grineer,GrineerSquadFive,InterceptRewardsGrineer,0 - 0,0
Janus,Saturno,Extermination,Grineer,GrineerSquadOne,,0 - 0,0
Mimas,Saturno,Survival,Grineer,GrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Phoebe,Saturno,Capture,Grineer,GrineerSquadThree,CaptureMissionRewardsA,0 - 0,0
Rhea,Saturno,Sabotage,Grineer,GrineerSquadThree,,0 - 0,0
Tethys,Saturno,Assassination,Grineer,GrineerSquadFour,EmberRewards,0 - 0,0
Keeler,Saturno,Survival,Grineer,GrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Aegaeon,Saturno,Extermination,Grineer,GrineerSquadTwo,,0 - 0,0
Numa,Saturno,Rescue,Grineer,GrineerSquadFive,RescueMissionRewardsEasy,0 - 0,0
Cassini,Saturno,Survival,Grineer,GrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Methone,Saturno,Deception,Grineer,GrineerSquadThree,,0 - 0,0
Anthe,Saturno,Rescue,Grineer,GrineerSquadFour,,0 - 0,0
Pallene,Saturno,Sabotage,Grineer,GrineerSquadFive,,0 - 0,0
Telesto,Saturno,Extermination,Grineer,GrineerSquadSix,,0 - 0,0
Calypso,Saturno,Capture,Grineer,GrineerSquadThree,CaptureMissionRewardsA,0 - 0,0
Miranda,Urano,Defense,Grineer,GrineerDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Ariel,Urano,Sabotage,Grineer,GrineerSquadTwo,,0 - 0,0
Umbriel,Urano,Spy,Grineer,GrineerSquadFour,IntelMissionRewardsA,0 - 0,0
Titania,Urano,Assassination,Grineer,GrineerSquadFour,AshRewards,0 - 0,0
Oberon,Urano,Extermination,Grineer,GrineerSquadThree,,0 - 0,0
Cordelia,Urano,Extermination,Grineer,GrineerSquadFive,,0 - 0,0
Ophelia,Urano,Survival,Grineer,GrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
