Mod,Drop Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Absorbabilityaugmentpvpname (/Lotus/Powersuits/Jade/SelfBulletAttractorPvPAugmentCard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Game/Corpusjetspacemanthreename (SpaceBattles/CrewMan/JetpackMarineThree),/Lotus/Language/Game/Corpusjetspacemantwoname (SpaceBattles/CrewMan/JetpackMarineTwo),/Lotus/Language/Game/Corpuslasershipname (SpaceBattles/Ships/LaserShip),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingmeleecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritDamageMod),/Lotus/Language/Game/Grineerskiffname (SpaceBattles/Skiffs/GrineerSpaceMarine),/Lotus/Language/Game/Grineermissileshieldskiffname (SpaceBattles/Skiffs/MissileShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Game/Corpusjetspacemanthreename (SpaceBattles/CrewMan/JetpackMarineThree),/Lotus/Language/Game/Corpusjetspacemantwoname (SpaceBattles/CrewMan/JetpackMarineTwo),/Lotus/Language/Game/Corpuslasershipname (SpaceBattles/Ships/LaserShip),/Lotus/Language/Game/Grineerspacedronename (SpaceBattles/Drones/GrineerSpaceDrone),/Lotus/Language/Game/Grineercombatpodname (SpaceBattles/Pods/CombatPod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingmeleefireratemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeFireRateMod),/Lotus/Language/Game/Corpuspodname (SpaceBattles/Ships/CrpPod),/Lotus/Language/Game/Corpusflakshipname (SpaceBattles/Ships/FlakShip),/Lotus/Language/Game/Corpusswarmshipname (SpaceBattles/Ships/SwarmShip),/Lotus/Language/Game/Grineershieldskiffname (SpaceBattles/Skiffs/ShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingmeleerangeincmod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeRangeIncMod),Drone (SpaceBattles/CrpSpaceDroneAttack),/Lotus/Language/Game/Grineerlaserdronename (SpaceBattles/Drones/LaserDrone),/Lotus/Language/Game/Grineerstasisdronename (SpaceBattles/Drones/StasisDrone),/Lotus/Language/Game/Grineermissileskiffname (SpaceBattles/Skiffs/MissileSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingmeleestatuschancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeStatusChanceMod),/Lotus/Language/Game/Corpusswarmdronename (SpaceBattles/Drones/SwarmDrone),/Lotus/Language/Game/Grineermissileskiffname (SpaceBattles/Skiffs/MissileSkiff),/Lotus/Language/Game/Grineermissileplatformname (SpaceBattles/GrineerMissilePlat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingrifleclipmaxmod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleClipMaxMod),Drone (SpaceBattles/CrpSpaceDroneAttack),/Lotus/Language/Game/Grineerskiffname (SpaceBattles/Skiffs/GrineerSpaceMarine),/Lotus/Language/Game/Grineermissileplatformname (SpaceBattles/GrineerMissilePlat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Game/Corpusjetspacemanthreename (SpaceBattles/CrewMan/JetpackMarineThree),/Lotus/Language/Game/Corpusjetspacemantwoname (SpaceBattles/CrewMan/JetpackMarineTwo),/Lotus/Language/Game/Corpuslasershipname (SpaceBattles/Ships/LaserShip),/Lotus/Language/Game/Grineerspacedronename (SpaceBattles/Drones/GrineerSpaceDrone),/Lotus/Language/Game/Grineerstasisdronename (SpaceBattles/Drones/StasisDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Game/Corpusjetspacemanthreename (SpaceBattles/CrewMan/JetpackMarineThree),/Lotus/Language/Game/Corpusjetspacemantwoname (SpaceBattles/CrewMan/JetpackMarineTwo),/Lotus/Language/Game/Corpuslasershipname (SpaceBattles/Ships/LaserShip),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingrifledamageamountmod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleDamageAmountMod),/Lotus/Language/Game/Corpusswarmdronename (SpaceBattles/Drones/SwarmDrone),/Lotus/Language/Game/Grineermissileskiffname (SpaceBattles/Skiffs/MissileSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingriflefireiterationsmod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleFireIterationsMod),/Lotus/Language/Game/Grineercombatpodname (SpaceBattles/Pods/CombatPod),/Lotus/Language/Game/Grineermissileshieldskiffname (SpaceBattles/Skiffs/MissileShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingriflefireratemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleFireRateMod),/Lotus/Language/Game/Corpusswarmshipname (SpaceBattles/Ships/SwarmShip),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingriflestatuschancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleStatusChanceMod),/Lotus/Language/Game/Grineerskiffname (SpaceBattles/Skiffs/GrineerSpaceMarine),/Lotus/Language/Game/Grineermissileplatformname (SpaceBattles/GrineerMissilePlat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitabilitydurationmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitAbilityDurationMod),Drone (SpaceBattles/CrpSpaceDroneAttack),/Lotus/Language/Game/Grineerskiffname (SpaceBattles/Skiffs/GrineerSpaceMarine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitabilityefficiencymod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitAbilityEfficiencyMod),/Lotus/Language/Game/Grineercombatpodname (SpaceBattles/Pods/CombatPod),/Lotus/Language/Game/Grineermissileskiffname (SpaceBattles/Skiffs/MissileSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitabilityrangemod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitAbilityRangeMod),/Lotus/Language/Game/Grineerlaserdronename (SpaceBattles/Drones/LaserDrone),/Lotus/Language/Game/Grineermissileshieldskiffname (SpaceBattles/Skiffs/MissileShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitabilitystrengthmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitAbilityStrengthMod),/Lotus/Language/Game/Grineerstasisdronename (SpaceBattles/Drones/StasisDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitarmourmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitArmourMod),/Lotus/Language/Game/Corpusswarmshipname (SpaceBattles/Ships/SwarmShip),/Lotus/Language/Game/Grineerspacedronename (SpaceBattles/Drones/GrineerSpaceDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuithealthmaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitHealthMaxMod),/Lotus/Language/Game/Corpuspodname (SpaceBattles/Ships/CrpPod),/Lotus/Language/Game/Corpusflakshipname (SpaceBattles/Ships/FlakShip),/Lotus/Language/Game/Grineermissileplatformname (SpaceBattles/GrineerMissilePlat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitpowermaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitPowerMaxMod),/Lotus/Language/Game/Grineershieldskiffname (SpaceBattles/Skiffs/ShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitshieldmaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitShieldMaxMod),/Lotus/Language/Game/Grineershieldskiffname (SpaceBattles/Skiffs/ShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Lotus/Language/Items/Archwingsuitshieldrechargeratemod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitShieldRechargeRateMod),/Lotus/Language/Game/Corpuspodname (SpaceBattles/Ships/CrpPod),/Lotus/Language/Game/Corpusflakshipname (SpaceBattles/Ships/FlakShip),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
