Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance,Tier
/Lotus/Language/Locations/Apollodorus,Mercurio,Survival,Grineer,/Lotus/Types/Game/GrineerSurvivalMercury,,20 - 50,0.2,0
/Lotus/Language/Locations/Lares,Mercurio,Defense,Grineer,/Lotus/Types/Game/GrineerDefenseA,,20 - 50,0.2,0
/Lotus/Language/Locations/Caloris,Mercurio,Capture,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/Elion,Mercurio,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/Terminus,Mercurio,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/MPrime,Mercurio,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/Tolstoj,Mercurio,Assassination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/RelayStationMercury,Mercurio,MT_PVP,Corrupted,,,20 - 50,0.2,0
/Lotus/Language/Locations/Balor,Mercurio,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadSabotageEvent,,20 - 50,0.2,0
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,1
/Lotus/Language/Locations/Neruda,Mercurio,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,1
/Lotus/Language/Locations/Eminescu,Mercurio,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,1
/Lotus/Language/Locations/Boethius,Mercurio,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadFour,,20 - 50,0.2,1
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,2
,Mercurio,Assassination,Grineer,,,20 - 50,0.2,2
