Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
Orokin Derelict Capture(/Lotus/StoreItems/Types/Keys/DerelictCaptureKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nano Spore(/Lotus/Types/Items/MiscItems/Nanospores),2500,Ferrite(/Lotus/Types/Items/MiscItems/Ferrite),750,Circuiti(/Lotus/Types/Items/MiscItems/Circuits),80,,1500,
/Lotus/StoreItems/Types/Keys/TestKeySurvival,Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nano Spore(/Lotus/Types/Items/MiscItems/Nanospores),9000,Reperti(/Lotus/Types/Items/MiscItems/Salvage),9000,Circuiti(/Lotus/Types/Items/MiscItems/Circuits),80,60,5000,5
Orokin Derelict Defense(/Lotus/StoreItems/Types/Keys/DerelictDefenseKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nano Spore(/Lotus/Types/Items/MiscItems/Nanospores),2500,Reperti(/Lotus/Types/Items/MiscItems/Salvage),750,Kit Polimero(/Lotus/Types/Items/MiscItems/PolymerBundle),80,,1500,
Orokin Derelict Exterminate(/Lotus/StoreItems/Types/Keys/DerelictExterminateKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nano Spore(/Lotus/Types/Items/MiscItems/Nanospores),2500,Reperti(/Lotus/Types/Items/MiscItems/Salvage),750,Circuiti(/Lotus/Types/Items/MiscItems/Circuits),80,,1500,
Orokin Derelict Survival(/Lotus/StoreItems/Types/Keys/DerelictSurvivalKey),Nav Coordinate(/Lotus/Types/Items/MiscItems/NavCode),5,Nano Spore(/Lotus/Types/Items/MiscItems/Nanospores),2500,Reperti(/Lotus/Types/Items/MiscItems/Salvage),750,Circuiti(/Lotus/Types/Items/MiscItems/Circuits),80,,1500,
Chiave Clan(/Lotus/StoreItems/Types/Keys/DojoKey),Morphics(/Lotus/Types/Items/MiscItems/Morphic),1,Ferrite(/Lotus/Types/Items/MiscItems/Ferrite),500,Kit Polimero(/Lotus/Types/Items/MiscItems/PolymerBundle),500,,,43200,,10
Orokin Derelict Assassinate(/Lotus/StoreItems/Types/Keys/DerelictGolemKey),Golem Nav Coordinate(/Lotus/Types/Items/MiscItems/BossNavCode),5,Nano Spore(/Lotus/Types/Items/MiscItems/Nanospores),4000,Reperti(/Lotus/Types/Items/MiscItems/Salvage),1000,Circuiti(/Lotus/Types/Items/MiscItems/Circuits),100,3600,2500,10
Tethra Shield Cipher(/Lotus/StoreItems/Types/Keys/NightmareKeyShipyardsRetrieval),Tethra Data Fragments(/Lotus/Types/Items/MiscItems/DataFragment),6,Piastra In Lega(/Lotus/Types/Items/MiscItems/AlloyPlate),1000,,,,,60,,5
Tethra Cipher(/Lotus/StoreItems/Types/Keys/TestKeyShipyardsRetrieval),Tethra Data Fragments(/Lotus/Types/Items/MiscItems/DataFragment),3,Kit Polimero(/Lotus/Types/Items/MiscItems/PolymerBundle),1000,,,,,60,,5
Vay Hek Frequency Triangulator(/Lotus/StoreItems/Types/Keys/VeyHekKey),Delta Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentA),2,Gamma Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentB),4,Kappa Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentC),8,Omega Beacon(/Lotus/Types/Items/MiscItems/VayHekCoordinateFragmentD),12,3600,10000,10
