Deck,Enemy,Probability,Max Simultaneous,Tier
CorpusCaptureTargets,CaptureTargets/CaptureTargetCorpusEngineerAgentEasy,1,0,5
,CaptureTargets/CaptureTargetCorpusScoutAgentEasy,1,0,5
,CaptureTargets/CaptureTargetCorpusMrFreezeAgent,1,0,5
,CaptureTargets/CaptureTargetCorpusEngineerAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusMrFreezeAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusScoutAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusShockAgent,1,0,16
,CaptureTargets/CaptureTargetCorpusHeavyAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusEngineerAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusMrFreezeAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusScoutAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusShockAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusHeavyAgent,1,0,7
CorpusEvent,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.75,0,0
,シールド オスプレイ (Drones/AIWeek/ShieldDroneAgent),0.15000001,2,0
,スナイパー クルーマン (Spaceman/AIWeek/SniperSpacemanAgent),0.1,1,0
,Corpus テック (Spaceman/AIWeek/DeployableSpacemanAgent),0.15000001,0,0
,マイン オスプレイ (Drones/AIWeek/MineDroneAgent),0.02,0,0
,フュージョン Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.050000001,0,0
,ショックウェーブ Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.25,0,0
,レールガン Moa (BipedRobot/AIWeek/RailgunBipedAgent),0.050000001,0,0
,Anti Moa (BipedRobot/AIWeek/LaserDiscBipedAgent),0.1,0,0
,Sapping Osprey (Drones/AIWeek/DiscDroneAgent),0.2,0,0
,Nullifier Crewman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,2,0
CorpusExcavationA,クルーマン (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,プロッド クルーマン (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,6,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.60000002,0,0
,シールド オスプレイ (Drones/AIWeek/ShieldDroneAgent),1,3,1
,クルーマン (Spaceman/AIWeek/ShotgunSpacemanAgent),0.5,0,1
,ショックウェーブ Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),1,3,2
,Oxium Osprey (Drones/AIWeek/SuicideDroneAgent),0.050000001,3,3
,スナイパー クルーマン (Spaceman/AIWeek/SniperSpacemanAgent),0.25,4,3
,Anti Moa (BipedRobot/AIWeek/LaserDiscBipedAgent),1,2,3
,フュージョン Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),1,3,4
,Elite Crewman (Spaceman/EliteSpacemanAgent),1,2,4
,Corpus テック (Spaceman/AIWeek/DeployableSpacemanAgent),1,3,5
,レールガン Moa (BipedRobot/AIWeek/RailgunBipedAgent),1,3,5
,Corpus Power Carrier (Spaceman/AIWeek/CarrierSpacemanAgent),1,4,0
,Nullifier Crewman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,0,0
,Sapping Osprey (Drones/AIWeek/DiscDroneAgent),0.15000001,0,0
CorpusGrineerDesertMix,クルーマン (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,ショックウェーブ Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,シールド オスプレイ (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,プロッド クルーマン (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,フュージョン Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,Sapping Osprey (Drones/AIWeek/DiscDroneAgent),0.15000001,2,0
,Nullifier Crewman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,2,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.1,0,0
,AIWeek/ShieldLancer,0.1,0,0
,GrineerMarineLeader,0.1,0,0
,Desert/RifleLancer,1,0,0
,Desert/EliteRifleLancer,1,0,0
,Desert/BladeSawman,0.30000001,0,0
,Desert/ShotgunLancer,0.25,0,0
,Desert/MinigunBombard,0.050000001,2,0
,Desert/EvisceratorLancer,0.1,2,0
,Desert/JetpackMarine,0.25,0,0
,Desert/GrineerMarinePistol,0.050000001,0,0
,/Lotus/Types/NeutralCreatures/SandRayCreature,0.25,3,0
,AIWeek/GrineerFemale,0.1,4,0
CorpusGrineerForestMix,クルーマン (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,ショックウェーブ Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,シールド オスプレイ (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,プロッド クルーマン (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,フュージョン Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,Nullifier Crewman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,2,0
,Sapping Osprey (Drones/AIWeek/DiscDroneAgent),0.15000001,2,0
,Forest/RifleLancer,1,0,0
,Forest/EliteRifleLancer,0.2,2,0
,Forest/BladeSawman,0.30000001,0,0
,Forest/ShotgunLancer,0.25,3,0
,Forest/MinigunBombard,0.050000001,2,0
,AIWeek/GrineerFemale,0.1,1,0
,Forest/JetpackMarine,0.25,1,0
,Frontier Regulator (SpecialEvents/ForestDroneAgent),0.050000001,0,0
,Forest/GrineerMarinePistol,0.050000001,0,0
