Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
/Lotus/Language/Dojo/Vaulttest Blueprint (/Lotus/Levels/ClanDojo/ComponentPropRecipes/VaultTestRecipe),フェライト (/Lotus/Types/Items/MiscItems/Ferrite),10,,,,,,,60,,25
/Lotus/Language/Items/Imprintedtraitprintname (/Lotus/StoreItems/Types/Game/KubrowPet/ImprintedTraitPrint),BlankTraitPrint,1,,,,,,,5400,,10
/Lotus/Levels/ClanDojo/ClanConnectorElbowA.level,サルベージ (/Lotus/Types/Items/MiscItems/Salvage),65000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),35000,ナノ胞子 (/Lotus/Types/Items/MiscItems/Nanospores),120000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorPlusA.level,サルベージ (/Lotus/Types/Items/MiscItems/Salvage),65000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),35000,ナノ胞子 (/Lotus/Types/Items/MiscItems/Nanospores),120000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorSmallA.level,サルベージ (/Lotus/Types/Items/MiscItems/Salvage),65000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),35000,ナノ胞子 (/Lotus/Types/Items/MiscItems/Nanospores),120000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorTJunctionA.level,サルベージ (/Lotus/Types/Items/MiscItems/Salvage),65000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),35000,ナノ胞子 (/Lotus/Types/Items/MiscItems/Nanospores),120000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanDojoBarracksMoon.level,合金板 (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),60000,ルビドー (/Lotus/Types/Items/MiscItems/Rubedo),30000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksMountain.level,合金板 (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),60000,ルビドー (/Lotus/Types/Items/MiscItems/Rubedo),30000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksShadow.level,合金板 (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),60000,ルビドー (/Lotus/Types/Items/MiscItems/Rubedo),30000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksStorm.level,合金板 (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,フェライト (/Lotus/Types/Items/MiscItems/Ferrite),60000,ルビドー (/Lotus/Types/Items/MiscItems/Rubedo),30000,フォーマ (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
