Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards
Terminus,Mercury,Extermination,Grineer,GrineerSquadOne,""
M Prime,Mercury,Sabotage,Grineer,GrineerSquadOne,""
Elion,Mercury,Mobile Defense,Grineer,GrineerSquadOne,""
Lares,Mercury,Defense,Grineer,GrineerDefenseA,""
Caloris,Mercury,Capture,Grineer,GrineerSquadOne,""
Apollodorus,Mercury,Survival,Grineer,GrineerSurvivalMercury,""
Tolstoj,Mercury,Assassination,Grineer,GrineerSquadOne,""
Cytherean,Venus,Extermination,Corpus,CorpusSquadA,""
V Prime,Venus,Rescue,Corpus,CorpusSquadA,""
Ishtar,Venus,Capture,Corpus,CorpusSquadA,""
E Gate,Venus,Survival,Corpus,CorpusSurvivalA,""
Vesper,Venus,Spy,Corpus,CorpusSquadA,""
Linea,Venus,Rescue,Corpus,CorpusSquadA,""
Aphrodite,Venus,Capture,Corpus,CorpusSquadA,""
Kiliken,Venus,Defense,Corpus,CorpusSquadDefenseA,""
Tessera,Venus,Sabotage,Corpus,CorpusSquadA,""
Fossa,Venus,Assassination,Corpus,CorpusSquadA,""
Venera,Venus,Defense,Corpus,CorpusSquadDefenseA,""
Unda,Venus,Spy,Corpus,CorpusSquadA,""
Cambria,Earth,Survival,Grineer,ForestGrineerSurvivalA,""
Everest,Earth,Assassination,Grineer,GrineerSquadFour,""
Mariana,Earth,Sabotage,Grineer,ForestGrineerSquadOne,""
Lith,Earth,Defense,Grineer,GrineerDefenseForest,""
Mantle,Earth,Extermination,Grineer,ForestGrineerSquadOne,""
Pacific,Earth,Capture,Grineer,ForestGrineerSquadOne,""
Lua,Earth,Interception,Grineer,ForestGrineerTerritoriesOne,""
Oro,Earth,Sabotage,Grineer,ForestGrineerSquadOne,""
Eurasia,Earth,Interception,Grineer,ForestGrineerTerritoriesOne,""
Gaia,Earth,Defense,Grineer,ForestGrineerSquadOne,""
E Prime,Earth,Extermination,Grineer,ForestGrineerSquadOne,""
Arcadia,Mars,Survival,Corpus,CorpusSurvivalA,""
Hellas,Mars,Mobile Defense,Corpus,CorpusSquadB,""
Ares,Mars,Capture,Corpus,CorpusSquadA,""
Tharsis,Mars,Sabotage,Corpus,CorpusSquadB,""
Vallis,Mars,Rescue,Corpus,CorpusGrineerMix,""
Olympus,Mars,Defense,Corpus,CorpusSquadDefenseA,""
Arval,Mars,Extermination,Corpus,CorpusSquadB,""
Alator,Mars,Capture,Corpus,CorpusSquadA,""
Silvanus,Mars,Extermination,Corpus,CorpusSquadB,""
Augustus,Mars,Extermination,Corpus,CorpusSquadB,""
Ara,Mars,Survival,Corpus,CorpusSquadA,""
Ultor,Mars,Extermination,Corpus,CorpusSquadB,""
Spear,Mars,Spy,Corpus,CorpusSquadA,""
Martialis,Mars,Spy,Corpus,CorpusSquadB,""
War,Mars,Assassination,Corpus,CorpusSquadA,""
Gradivus,Mars,Sabotage,Corpus,CorpusSquadB,""
Quirinus,Mars,Capture,Corpus,CorpusInfestedMix,""
Metis,Jupiter,Capture,Corpus,CorpusSquadD,""
Adrastea,Jupiter,Extermination,Corpus,CorpusSquadD,""
Amalthea,Jupiter,Sabotage,Corpus,CorpusSquadD,""
Thebe,Jupiter,Deception,Corpus,CorpusSquadD,""
Io,Jupiter,Defense,Corpus,CorpusSquadDefenseB,""
Elara,Jupiter,Survival,Corpus,CorpusSurvivalB,""
Ganymede,Jupiter,Extermination,Corpus,CorpusSquadD,""
Callisto,Jupiter,Defense,Corpus,CorpusSquadDefenseB,""
Themisto,Jupiter,Assassination,Corpus,CorpusSquadD,""
Carpo,Jupiter,Extermination,Corpus,CorpusSquadD,""
Carme,Jupiter,Mobile Defense,Corpus,CorpusSquadD,""
Ananke,Jupiter,Capture,Corpus,CorpusSquadD,""
Helene,Saturn,Defense,Grineer,GrineerDefenseA,""
Titan,Saturn,Sabotage,Grineer,GrineerSquadTwo,""
Dione,Saturn,Sabotage,Grineer,GrineerSquadOne,""
Enceladus,Saturn,Capture,Grineer,GrineerSquadThree,""
Epimetheus,Saturn,Deception,Grineer,CorpusGrineerMix,""
Hyperion,Saturn,Extermination,Grineer,GrineerSquadTwo,""
Iapetus,Saturn,Deception,Grineer,CorpusGrineerMix,""
Janus,Saturn,Extermination,Grineer,GrineerSquadOne,""
Mimas,Saturn,Survival,Grineer,GrineerSurvivalA,""
Phoebe,Saturn,Capture,Grineer,GrineerSquadThree,""
Rhea,Saturn,Sabotage,Grineer,GrineerSquadOne,""
Tethys,Saturn,Assassination,Grineer,GrineerSquadOne,""
Keeler,Saturn,Survival,Grineer,GrineerSurvivalA,""
Aegaeon,Saturn,Extermination,Grineer,GrineerSquadTwo,""
Numa,Saturn,Rescue,Grineer,CorpusGrineerMix,""
Cassini,Saturn,Survival,Grineer,GrineerSurvivalA,""
Methone,Saturn,Deception,Grineer,CorpusGrineerMix,""
Anthe,Saturn,Rescue,Grineer,GrineerSquadTwo,""
Pallene,Saturn,Sabotage,Grineer,GrineerInfestedMix,""
Telesto,Saturn,Extermination,Grineer,GrineerSquadOne,""
Calypso,Saturn,Capture,Grineer,GrineerSquadThree,""
Miranda,Uranus,Defense,Grineer,GrineerDefenseA,""
Ariel,Uranus,Sabotage,Grineer,GrineerInfestedMix,""
Umbriel,Uranus,Spy,Grineer,GrineerSquadFour,""
Titania,Uranus,Assassination,Grineer,GrineerSquadFour,""
Oberon,Uranus,Extermination,Grineer,GrineerSquadOne,""
Cordelia,Uranus,Extermination,Grineer,GrineerSquadOne,""
Ophelia,Uranus,Survival,Grineer,GrineerSurvivalA,""
Bianca,Uranus,Defense,Grineer,GrineerDefenseA,""
Cressida,Uranus,Survival,Grineer,GrineerSurvivalA,""
Desdemona,Uranus,Capture,Grineer,GrineerSquadTwo,""
