Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
"/Lotus/StoreItems/Weapons/Tenno/Melee/Brass Knuckles/BrassKnuckles",Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),400,Morfyt(/Lotus/Types/Items/MiscItems/Morphic),3,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),1200,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),500,43200,15000,45
/Lotus/Levels/ClanDojo/ClanConnectorElbowA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorPlusA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorSmallA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorTJunctionA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanDojoBarracksMoon.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksMountain.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksShadow.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksStorm.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDuelRoomA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,86400,75000,750
/Lotus/Levels/ClanDojo/ClanDuelRoomB.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),80000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),17500,Forma(/Lotus/Types/Items/MiscItems/Forma),15,129600,75000,750
/Lotus/Levels/ClanDojo/ClanDuelRoomC.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),100000,Obwody(/Lotus/Types/Items/MiscItems/Circuits),35000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),25000,Forma(/Lotus/Types/Items/MiscItems/Forma),20,259200,100000,1500
/Lotus/Levels/ClanDojo/ClanElevatorA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanGrandHallA.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanGrandestHallA.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanGreatHallA.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanGreaterHallA.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanHallA.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanObstacleCourseA.level,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),40000,Rubedo(/Lotus/Types/Items/MiscItems/Rubedo),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),15,86400,100000,1000
/Lotus/Levels/ClanDojo/ClanPowerRoomA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Obwody(/Lotus/Types/Items/MiscItems/Circuits),35000,Stalowa Płyta(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanStorageA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoChallengeRoomA.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),25000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),150000,Forma(/Lotus/Types/Items/MiscItems/Forma),4,43200,55000,750
/Lotus/Levels/ClanDojo/DojoConnectorElbow.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorElevator.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorPlus.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorStraight.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorStraightLong.level,Złom(/Lotus/Types/Items/MiscItems/Salvage),65000,Ferryt(/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Zarodniki(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
