Mob Name,Mods,,,,,,,,,,,,,,,,,
/Lotus/Language/Bosses/Bossseargentnefanyo (Spaceman/Vip/SniperBoss),Toque Eletrificante (/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Reflexo Rápido (/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Pente Estendido (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Perspicácia Do Ladrão (/Lotus/Upgrades/Mods/Warframe/AvatarLootRadarMod),,,,,,,,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorgenericname (AIWeek/GrineerMeleeStaff),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Vento Do Norte (/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Reflexo Rápido (/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Ponto De Pressão (/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Punição Grineer (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageGrineer),Tiro No Alvo (/Lotus/Upgrades/Mods/Rifle/WeaponCritChanceMod),Mãos Rápidas (/Lotus/Upgrades/Mods/Rifle/WeaponReloadSpeedMod),Fluxo (/Lotus/Upgrades/Mods/Warframe/AvatarPowerMaxMod),,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorleaderdeltaelecname (AIWeek/DeltaProsecutorLeader),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Pente Estendido (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Trovão (/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Limpeza Corpus (/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Repelente De Fogo (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Sensor De Inimigo (/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),,,,,,,,,,
/Lotus/Language/Enemyleaders/Prosecutorleaderelecname (AIWeek/GrineerMeleeStaffLeader),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Pente Estendido (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Trovão (/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Limpeza Corpus (/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Repelente De Fogo (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Sensor De Inimigo (/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),,,,,,,,,,
/Lotus/Language/G1quests/Spyquestboilerminiboss (AiWeek/Ancients/SpawningAncientMiniboss),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Despedaçador De Órgãos (/Lotus/Upgrades/Mods/Melee/WeaponCritDamageMod),Pente Reserva (/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Picada De Marimbondo (/Lotus/Upgrades/Mods/Pistol/WeaponDamageAmountMod),/Lotus/Language/Items/Uniqueweaponmodexplosionradius (/Lotus/Upgrades/Mods/Rifle/WeaponIncreaseRadialExplosionMod),Desvio Rápido (/Lotus/Upgrades/Mods/Sentinel/SentinelShieldRechargeRateMod),/Lotus/Language/Items/Slashdamageshotgunmod (/Lotus/Upgrades/Mods/Shotgun/WeaponSlashDamageMod),Camada Aquecedora (/Lotus/Upgrades/Mods/Warframe/AvatarMissionSpecificResistanceIce),/Lotus/Language/Items/Punchkickstanceb (/Lotus/Weapons/Tenno/Melee/MeleeTrees/PunchKickCmbTwoMeleeTree),,,,,,,,
/Lotus/Language/Game/Aladv (Vip/AladV/AladBoss),Pente Reserva (/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Carga Superaquecida (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Pistoleiro (/Lotus/Upgrades/Mods/Pistol/WeaponFireRateMod),Saque Rápido (/Lotus/Upgrades/Mods/Pistol/WeaponReloadSpeedMod),Foco (/Lotus/Upgrades/Mods/Warframe/AvatarAbilityStrengthMod),Vitalidade (/Lotus/Upgrades/Mods/Warframe/AvatarHealthMaxMod),,,,,,,,,,,,
/Lotus/Language/Game/Bossambulas (BipedRobot/Vip/BossBiped),Impacto Flamejante (/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Ponto De Pressão (/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Carga Superaquecida (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Pente Estendido (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Fogo Infernal (/Lotus/Upgrades/Mods/Rifle/WeaponFireDamageMod),Desvio Rápido (/Lotus/Upgrades/Mods/Warframe/AvatarShieldRechargeRateMod),,,,,,,,,,,,
/Lotus/Language/Game/Controlriotmoaname (BipedRobot/AIWeek/RiotBipedControl),Vingança (/Lotus/Types/Sentinels/SentinelPrecepts/Revenge),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),/Lotus/Language/Items/Channelvampiremod (/Lotus/Upgrades/Mods/Melee/Channel/ChannelVampireMod),Vento Do Norte (/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Punição Grineer (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageGrineer),Tambor De Munição (/Lotus/Upgrades/Mods/Rifle/WeaponAmmoMaxMod),,,,,,,,,,,,
/Lotus/Language/Game/Corpusflakshipname (SpaceBattles/Ships/FlakShip),/Lotus/Language/Items/Archwingmeleefireratemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeFireRateMod),/Lotus/Language/Items/Archwingsuithealthmaxmod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitHealthMaxMod),/Lotus/Language/Items/Archwingsuitshieldrechargeratemod (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitShieldRechargeRateMod),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,,
/Lotus/Language/Game/Corpusjetspacemanname (SpaceBattles/CrewMan/JetpackMarine),/Lotus/Language/Items/Archwingmeleecritchancemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritChanceMod),/Lotus/Language/Items/Archwingmeleedamagemod (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),/Lotus/Language/Items/Archwingriflecritchancemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritChanceMod),/Lotus/Language/Items/Archwingriflecritdamagemod (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleCritDamageMod),Common Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Núcleo De Fusão (/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),,,,,,,,,,,,
