Name,Category,In Market,Tradeable,Credit Price,Plat Price,Expiry
 (/Lotus/StoreItems/Types/Game/DojoDecorationRecipeItem),Recipes,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/DojoRecipeItem),Recipes,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/KubrowPet/BodyTypes/KubrowPetBodyType),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/KubrowPet/BodyTypes/KubrowPetHeavyBodyType),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/KubrowPet/BodyTypes/KubrowPetRegularBodyType),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/KubrowPet/BodyTypes/KubrowPetThinBodyType),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColor),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesA),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesB),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesC),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesD),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesE),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesF),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesG),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesH),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Colors/KubrowPetColorEyesI),FlavourItems,NO,NO,?,10,
 (/Lotus/StoreItems/Types/Game/KubrowPet/Patterns/KubrowPetPattern),WeaponSkins,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Game/RecipeItem),Recipes,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/Emotes/Emote),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/NavigationFeatureItem),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/Plants/MiscItems/PlantItem),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/Research/DojoColors/GenericDojoColorPigment),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/ShipFeatureItems/ShipFeatureItem),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Items/SyndicateDogTags/DogTag),MiscItems,NO,NO,?,?,
 (/Lotus/StoreItems/Types/Keys/CiceroCrisisQuest/CiceroCrisisQuestKeyChain),QuestKeys,NO,NO,?,?,
