Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance,Tier
Apollodorus,Mercúrio,Survival,Grineer,/Lotus/Types/Game/GrineerSurvivalMercury,/Lotus/Types/Game/MissionDecks/SurvivalMissionRewards/SurvivalLowLevelRewards,20 - 50,0.2,0
Lares,Mercúrio,Defense,Grineer,/Lotus/Types/Game/GrineerDefenseA,/Lotus/Types/Game/MissionDecks/DefenseMissionRewards/DefenseMissionRewardsEasy,20 - 50,0.2,0
Caloris,Mercúrio,Capture,Grineer,/Lotus/Types/Game/GrineerSquadOne,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 50,0.2,0
Elion,Mercúrio,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Terminus,Mercúrio,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
M Prime,Mercúrio,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Tolstoj,Mercúrio,Assassination,Grineer,/Lotus/Types/Game/GrineerSquadOne,/Lotus/Types/Game/MissionDecks/BossMissionRewards/SeerPistolRewards,20 - 50,0.2,0
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,0
Balor,Mercúrio,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadSabotageEvent,,20 - 50,0.2,0
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,1
Neruda,Mercúrio,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,1
Eminescu,Mercúrio,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,1
Boethius,Mercúrio,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadFour,,20 - 50,0.2,1
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,1
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,2
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,2
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,2
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,2
Odin,Mercúrio,Interception,Grineer,/Lotus/Types/Game/GrineerDefenseA,/Lotus/Types/Game/MissionDecks/InterceptionMissionRewards/InterceptionMissionRewardsEasy,20 - 50,0.2,2
Suisei,Mercúrio,Capture,Grineer,/Lotus/Types/Game/GrineerSquadFive,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 50,0.2,2
Pantheon,Mercúrio,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadTwo,,20 - 50,0.2,2
Verdi,Mercúrio,Deception,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,2
,Mercúrio,Assassination,Grineer,,,20 - 50,0.2,2
,Vênus,Assassination,Grineer,,,20 - 40,0.2,0
V Prime,Vênus,Rescue,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
Ishtar,Vênus,Capture,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 40,0.2,0
Aphrodite,Vênus,Capture,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 40,0.2,0
