Deck,Enemy,Probability,Max Simultaneous,Tier
CorpusCaptureTargets,CaptureTargets/CaptureTargetCorpusEngineerAgentEasy,1,0,5
,CaptureTargets/CaptureTargetCorpusScoutAgentEasy,1,0,5
,CaptureTargets/CaptureTargetCorpusMrFreezeAgent,1,0,5
,CaptureTargets/CaptureTargetCorpusEngineerAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusMrFreezeAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusScoutAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusShockAgent,1,0,16
,CaptureTargets/CaptureTargetCorpusHeavyAgent,1,0,6
,CaptureTargets/CaptureTargetCorpusEngineerAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusMrFreezeAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusScoutAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusShockAgent,1,0,7
,CaptureTargets/CaptureTargetCorpusHeavyAgent,1,0,7
CorpusEvent,Моа Шагоход (BipedRobot/AIWeek/LaserCannonBipedAgent),0.75,0,0
,Дрон Щитогенератор (Drones/AIWeek/ShieldDroneAgent),0.15000001,2,0
,Солдат-Снайпер (Spaceman/AIWeek/SniperSpacemanAgent),0.1,1,0
,Техник Корпуса (Spaceman/AIWeek/DeployableSpacemanAgent),0.15000001,0,0
,Дрон Минёр (Drones/AIWeek/MineDroneAgent),0.02,0,0
,Гибридный Моа (BipedRobot/AIWeek/SuperMoaBipedAgent),0.050000001,0,0
,Ударный Моа (BipedRobot/AIWeek/ShockwaveBipedAgent),0.25,0,0
,Моа Рельсотрон (BipedRobot/AIWeek/RailgunBipedAgent),0.050000001,0,0
,/Lotus/Language/Game/Laserdiscbiped (BipedRobot/AIWeek/LaserDiscBipedAgent),0.1,0,0
,/Lotus/Language/Game/Discosprey (Drones/AIWeek/DiscDroneAgent),0.2,0,0
,/Lotus/Language/Game/Nullifyspaceman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,2,0
CorpusExcavationA,Солдат (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Солдат С Жезлом (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,6,0
,Моа Шагоход (BipedRobot/AIWeek/LaserCannonBipedAgent),0.60000002,0,0
,Дрон Щитогенератор (Drones/AIWeek/ShieldDroneAgent),1,3,1
,Солдат (Spaceman/AIWeek/ShotgunSpacemanAgent),0.5,0,1
,Ударный Моа (BipedRobot/AIWeek/ShockwaveBipedAgent),1,3,2
,/Lotus/Language/Game/Suicidedronename (Drones/AIWeek/SuicideDroneAgent),0.050000001,3,3
,Солдат-Снайпер (Spaceman/AIWeek/SniperSpacemanAgent),0.25,4,3
,/Lotus/Language/Game/Laserdiscbiped (BipedRobot/AIWeek/LaserDiscBipedAgent),1,2,3
,Гибридный Моа (BipedRobot/AIWeek/SuperMoaBipedAgent),1,3,4
,/Lotus/Language/Game/Elitespaceman (Spaceman/EliteSpacemanAgent),1,2,4
,Техник Корпуса (Spaceman/AIWeek/DeployableSpacemanAgent),1,3,5
,Моа Рельсотрон (BipedRobot/AIWeek/RailgunBipedAgent),1,3,5
,/Lotus/Language/Game/Crpexcavationcarrier (Spaceman/AIWeek/CarrierSpacemanAgent),1,4,0
,/Lotus/Language/Game/Nullifyspaceman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,0,0
,/Lotus/Language/Game/Discosprey (Drones/AIWeek/DiscDroneAgent),0.15000001,0,0
CorpusGrineerDesertMix,Солдат (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Моа Шагоход (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Ударный Моа (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Дрон Щитогенератор (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Солдат С Жезлом (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Моа Шагоход (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Гибридный Моа (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,/Lotus/Language/Game/Discosprey (Drones/AIWeek/DiscDroneAgent),0.15000001,2,0
,/Lotus/Language/Game/Nullifyspaceman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,2,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.1,0,0
,AIWeek/ShieldLancer,0.1,0,0
,GrineerMarineLeader,0.1,0,0
,Desert/RifleLancer,1,0,0
,Desert/EliteRifleLancer,1,0,0
,Desert/BladeSawman,0.30000001,0,0
,Desert/ShotgunLancer,0.25,0,0
,Desert/MinigunBombard,0.050000001,2,0
,Desert/EvisceratorLancer,0.1,2,0
,Desert/JetpackMarine,0.25,0,0
,Desert/GrineerMarinePistol,0.050000001,0,0
,/Lotus/Types/NeutralCreatures/SandRayCreature,0.25,3,0
,AIWeek/GrineerFemale,0.1,4,0
CorpusGrineerForestMix,Солдат (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Моа Шагоход (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Ударный Моа (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Дрон Щитогенератор (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Солдат С Жезлом (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Моа Шагоход (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Гибридный Моа (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,/Lotus/Language/Game/Nullifyspaceman (Spaceman/AIWeek/NullifySpacemanAgent),0.1,2,0
,/Lotus/Language/Game/Discosprey (Drones/AIWeek/DiscDroneAgent),0.15000001,2,0
,Forest/RifleLancer,1,0,0
,Forest/EliteRifleLancer,0.2,2,0
