Name,Type
Arid Fear Bronze Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/AridFearBronzeTrophyRecipe
Arid Fear Gold Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/AridFearGoldTrophyRecipe
Arid Fear Silver Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/AridFearSilverTrophyRecipe
Bronze Buddha Statue,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/BronzeStatueBuddhaRecipe
Bronze Dragon Statue,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/BronzeStatueDragonRecipe
Bronze Foo Dog Statue,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/BronzeStatueFooDogRecipe
Bronze Incense Burner Statue,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/BronzeStatueIncenseBurnerRecipe
Bronze Turtle Dragon Statue,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/BronzeStatueTurtleDragonRecipe
Cicero Crisis Bronze Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/CiceroCrisisBronzeTrophyRecipe
Cicero Crisis Gold Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/CiceroCrisisGoldTrophyRecipe
Cicero Crisis Silver Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/CiceroCrisisSilverTrophyRecipe
Диван,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/CouchTestRecipe
Цветочный Горшок,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/DojoPlanterARecipe
Chokkan Fountain,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FountainBambooARecipe
Hokidachi Fountain,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FountainBambooBRecipe
Shakan Fountain,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FountainBambooCRecipe
Baseless Stone Fountain,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FountainRockARecipe
Stone Fountain,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FountainRockBaseRecipe
Wooden Fountain,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FountainWoodenARecipe
Трофей: Гибридный Моа,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/FusionMoaTrophyRecipe
Yin-Yang Garden,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GardenYinYangRecipe
Gradivus Dilemma Bronze Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GradivusDilemmaCorpusBronzeTrophyRecipe
Gradivus Dilemma Gold Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GradivusDilemmaCorpusGoldTrophyRecipe
Gradivus Dilemma Silver Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GradivusDilemmaCorpusSilverTrophyRecipe
Gradivus Dilemma Bronze Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GradivusDilemmaGrineerBronzeTrophyRecipe
Gradivus Dilemma Gold Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GradivusDilemmaGrineerGoldTrophyRecipe
Gradivus Dilemma Silver Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GradivusDilemmaGrineerSilverTrophyRecipe
Статуя: Бронированный Боец Гринир,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GrineerArmouredStatueRecipe
Статуя: Гринир Женского Пола,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GrineerFemaleStatueRecipe
Статуя: Боец Гринир,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/GrineerMarineStatueRecipe
Статуя: Лех Крил,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/HammerBossStatueRecipe
Large Topiary Bush,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/LargeTopiaryBushRecipe
Человек,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/ManTestRecipe
Leaning Maple Tree,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/MapleTreeARecipe
Autumn Maple Tree,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/MapleTreeBRecipe
Spring Maple Tree,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/MapleTreeCRecipe
Summer Maple Tree,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/MapleTreeDRecipe
Ramu Pillar Lantern,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/ModPathLightARecipe
Cairn,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/RockStatueStonePileRecipe
Tethra's Doom Bronze Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/ShipyardsEventBronzeTrophyRecipe
Tethra's Doom Gold Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/ShipyardsEventGoldTrophyRecipe
Tethra's Doom Silver Trophy,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/ShipyardsEventSilverTrophyRecipe
Трофей: Удар Пращи,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/SlingStoneTrophyRecipe
Pruned Bush,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/SmallPrunedBushRecipe
Small Topiary Bush,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/SmallTopiaryBushRecipe
Трофей: Дрон-Шпион,/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/SpyDroneTrophyRecipe
