Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance,Tier
/Lotus/Language/Locations/Apollodorus,Меркурій,Survival,Grineer,/Lotus/Types/Game/GrineerSurvivalMercury,,20 - 50,0.2,0
/Lotus/Language/Locations/Lares,Меркурій,Defense,Grineer,/Lotus/Types/Game/GrineerDefenseA,,20 - 50,0.2,0
/Lotus/Language/Locations/Caloris,Меркурій,Capture,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/Elion,Меркурій,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/Terminus,Меркурій,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/MPrime,Меркурій,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/Tolstoj,Меркурій,Assassination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
/Lotus/Language/Locations/RelayStationMercury,Меркурій,MT_PVP,Corrupted,,,20 - 50,0.2,0
/Lotus/Language/Locations/Balor,Меркурій,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadSabotageEvent,,20 - 50,0.2,0
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,1
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,1
/Lotus/Language/Locations/Neruda,Меркурій,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,1
/Lotus/Language/Locations/Eminescu,Меркурій,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,1
/Lotus/Language/Locations/Boethius,Меркурій,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadFour,,20 - 50,0.2,1
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,1
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,1
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,1
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,1
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,2
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,2
/Lotus/Language/Locations/MercuryArchwingNode1,Меркурій,Extermination,Grineer,/Lotus/Types/Game/SpaceGrineerA,,20 - 50,0.2,2
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,2
/Lotus/Language/Locations/Odin,Меркурій,Interception,Grineer,/Lotus/Types/Game/GrineerDefenseA,,20 - 50,0.2,2
/Lotus/Language/Locations/Suisei,Меркурій,Spy,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,2
/Lotus/Language/Locations/Pantheon,Меркурій,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadTwo,,20 - 50,0.2,2
/Lotus/Language/Locations/Verdi,Меркурій,Deception,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,2
,Меркурій,Assassination,Grineer,,,20 - 50,0.2,2
,Венера,Assassination,Grineer,,,20 - 40,0.2,0
