Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
/Lotus/Language/Clantech/Grenadelaunchername (/Lotus/StoreItems/Weapons/Corpus/LongGuns/GrenadeLauncher/GrenadeLauncher),Модуль Керування (/Lotus/Types/Items/MiscItems/ControlModule),3,Схеми (/Lotus/Types/Items/MiscItems/Circuits),1000,Феріт (/Lotus/Types/Items/MiscItems/Ferrite),1200,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),400,86400,30000,40
/Lotus/Language/Dojo/Vaulttest Blueprint (/Lotus/Levels/ClanDojo/ComponentPropRecipes/VaultTestRecipe),Феріт (/Lotus/Types/Items/MiscItems/Ferrite),10,,,,,,,60,,25
/Lotus/Language/Items/Advancedresourcedrone (/Lotus/StoreItems/Types/Ship/AdvancedResourceDrone),Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),500,Наноспори (/Lotus/Types/Items/MiscItems/Nanospores),300,,,,,21600,,5
/Lotus/Language/Items/Advanceducresourcedrone (/Lotus/StoreItems/Types/Ship/AdvancedUcResourceDrone),Набір Полімерів (/Lotus/Types/Items/MiscItems/PolymerBundle),2000,/Lotus/Language/Items/Oxiumname (/Lotus/Types/Items/MiscItems/OxiumAlloy),300,,,,,21600,1,5
/Lotus/Language/Items/Akimbosomapistolsname (/Lotus/StoreItems/Weapons/Tenno/Pistols/SomaSidearm/AkimboSomaPistols),/Lotus/Language/Items/Tennouziname (/Lotus/Weapons/Tenno/Pistols/TennoUzi/TennoUzi),1,/Lotus/Language/Items/Cryotic (/Lotus/Types/Items/MiscItems/Cryotic),200,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,20000,25
/Lotus/Language/Items/Aklexname (/Lotus/StoreItems/Weapons/Tenno/Akimbo/AkLexPistols),Лекс (/Lotus/Weapons/Tenno/Pistol/HeavyPistol),1,Лекс (/Lotus/Weapons/Tenno/Pistol/HeavyPistol),1,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,20000,25
/Lotus/Language/Items/Akmagnusname (/Lotus/StoreItems/Weapons/Tenno/Akimbo/DualMagnus),/Lotus/Language/Items/Magnumname (/Lotus/Weapons/Tenno/Pistols/Magnum/Magnum),1,/Lotus/Language/Items/Magnumname (/Lotus/Weapons/Tenno/Pistols/Magnum/Magnum),1,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),2,,,43200,50000,25
/Lotus/Language/Items/Ancienthealerball (/Lotus/StoreItems/Types/Restoratives/Consumable/AncientHealerBall),Наноспори (/Lotus/Types/Items/MiscItems/Nanospores),2500,Сировина (/Lotus/Types/Items/MiscItems/Salvage),2500,Феріт (/Lotus/Types/Items/MiscItems/Ferrite),2500,,,28800,,10
/Lotus/Language/Items/Ankyrosprimename (/Lotus/StoreItems/Weapons/Tenno/Melee/Gauntlet/PrimeAnkyros/PrimeAnkyros),WeaponParts/AnkyrosPrimeBlade,2,WeaponParts/AnkyrosPrimeGauntlet,2,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),10,,,43200,,50
/Lotus/Language/Items/Antlerbowname (/Lotus/StoreItems/Weapons/Tenno/Bows/AntlerBow/AntlerBow),Галій (/Lotus/Types/Items/MiscItems/Gallium),3,Пластиди (/Lotus/Types/Items/MiscItems/Plastids),700,Набір Полімерів (/Lotus/Types/Items/MiscItems/PolymerBundle),600,Феріт (/Lotus/Types/Items/MiscItems/Ferrite),1750,43200,20000,45
/Lotus/Language/Items/Arcaneashalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Ninja/NinjaHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanebansheealthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Decree/DecreeAltHelmetB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanebansheealthelmetname (/Lotus/StoreItems/Upgrades/Skins/Decree/DecreeAltHelmet),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcaneemberalthelmet (/Lotus/StoreItems/Upgrades/Skins/Ember/EmberHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcaneemberalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Ember/EmberHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcaneexcaliburalthelmet (/Lotus/StoreItems/Upgrades/Skins/Excalibur/ExcaliburHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcaneexcaliburalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Excalibur/ExcaliburHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanefrostalthelmet (/Lotus/StoreItems/Upgrades/Skins/Frost/FrostHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanefrostalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Frost/FrostHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanejadealthelmet (/Lotus/StoreItems/Upgrades/Skins/Jade/JadeHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanelokialthelmet (/Lotus/StoreItems/Upgrades/Skins/Loki/LokiHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanelokialthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Loki/LokiHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanemagalthelmet (/Lotus/StoreItems/Upgrades/Skins/Mag/MagHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanemagalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Mag/MagHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcaneninjaalthelmet (/Lotus/StoreItems/Upgrades/Skins/Ninja/NinjaHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanenovaalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/AntiMatter/AntiAltHelmet),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanenyxalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Jade/JadeHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanerhinoalthelmet (/Lotus/StoreItems/Upgrades/Skins/Rhino/RhinoHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanerhinoalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Rhino/RhinoHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanesarynalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Asp/AspAltHelmetB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanesarynalthelmetname (/Lotus/StoreItems/Upgrades/Skins/Asp/AspAltHelmet),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanetrapperalthelmet (/Lotus/StoreItems/Upgrades/Skins/Trapper/TrapperHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanetrinityalthelmet (/Lotus/StoreItems/Upgrades/Skins/Trinity/TrinityHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanetrinityalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Trinity/TrinityHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanevaubanalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Trapper/TrapperHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanevoltalthelmet (/Lotus/StoreItems/Upgrades/Skins/Volt/VoltHelmetAlt),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Arcanevoltalthelmet2name (/Lotus/StoreItems/Upgrades/Skins/Volt/VoltHelmetAltB),Сировина (/Lotus/Types/Items/MiscItems/Salvage),500,Пластина Сплаву (/Lotus/Types/Items/MiscItems/AlloyPlate),350,Клітина Орокін (/Lotus/Types/Items/MiscItems/OrokinCell),1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),2,43200,,25
/Lotus/Language/Items/Archaxename (/Lotus/StoreItems/Weapons/Tenno/Archwing/Melee/Archaxe/ArchAxeWeapon),WeaponParts/ArchAxeBlade,2,WeaponParts/ArchAxeHandle,1,Нейроди (/Lotus/Types/Items/MiscItems/Neurode),3,,,43200,35000,50
/Lotus/Language/Items/Archcannonname (/Lotus/StoreItems/Weapons/Tenno/Archwing/Primary/LaunchGrenade/ArchCannon),WeaponParts/ArchCannonBarrel,1,WeaponParts/ArchCannonReceiver,1,WeaponParts/ArchCannonStock,1,/Lotus/Language/Items/Argoncrystal (/Lotus/Types/Items/MiscItems/ArgonCrystal),2,43200,35000,50
/Lotus/Language/Items/Archhammername (/Lotus/StoreItems/Weapons/Tenno/Archwing/Melee/ArchHammer/ArchHammer),WeaponParts/ArchHammerHead,1,WeaponParts/ArchHammerHandle,1,Схеми (/Lotus/Types/Items/MiscItems/Circuits),300,Модуль Керування (/Lotus/Types/Items/MiscItems/ControlModule),1,43200,35000,50
/Lotus/Language/Items/Archheavypistolsname (/Lotus/StoreItems/Weapons/Tenno/Archwing/Primary/ArchwingHeavyPistols/ArchHeavyPistols),WeaponParts/ArchHeavyPistolsBarrel,2,WeaponParts/ArchHeavyPistolsReceiver,2,Модуль Керування (/Lotus/Types/Items/MiscItems/ControlModule),2,,,43200,35000,50
/Lotus/Language/Items/Archrailgunname (/Lotus/StoreItems/Weapons/Tenno/Archwing/Primary/Railgun/ArchRailgun),WeaponParts/ArchRailgunBarrel,1,WeaponParts/ArchRailgunReceiver,1,WeaponParts/ArchRailgunStock,1,Модуль Керування (/Lotus/Types/Items/MiscItems/ControlModule),2,43200,35000,50
