Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance,Tier
Apollodorus,水星,Survival,Grineer,/Lotus/Types/Game/GrineerSurvivalMercury,/Lotus/Types/Game/MissionDecks/SurvivalMissionRewards/SurvivalLowLevelRewards,20 - 50,0.2,0
Lares,水星,Defense,Grineer,/Lotus/Types/Game/GrineerDefenseA,/Lotus/Types/Game/MissionDecks/DefenseMissionRewards/DefenseMissionRewardsEasy,20 - 50,0.2,0
Caloris,水星,Capture,Grineer,/Lotus/Types/Game/GrineerSquadOne,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 50,0.2,0
Elion,水星,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Terminus,水星,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
M Prime,水星,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,0
Tolstoj,水星,Assassination,Grineer,/Lotus/Types/Game/GrineerSquadOne,/Lotus/Types/Game/MissionDecks/BossMissionRewards/SeerPistolRewards,20 - 50,0.2,0
,水星,Assassination,Grineer,,,20 - 50,0.2,0
Balor,水星,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadSabotageEvent,,20 - 50,0.2,0
,水星,Assassination,Grineer,,,20 - 50,0.2,1
,水星,Assassination,Grineer,,,20 - 50,0.2,1
Neruda,水星,Sabotage,Grineer,/Lotus/Types/Game/GrineerSquadOne,,20 - 50,0.2,1
Eminescu,水星,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,1
Boethius,水星,Mobile Defense,Grineer,/Lotus/Types/Game/GrineerSquadFour,,20 - 50,0.2,1
,水星,Assassination,Grineer,,,20 - 50,0.2,1
,水星,Assassination,Grineer,,,20 - 50,0.2,1
,水星,Assassination,Grineer,,,20 - 50,0.2,1
,水星,Assassination,Grineer,,,20 - 50,0.2,1
,水星,Assassination,Grineer,,,20 - 50,0.2,2
,水星,Assassination,Grineer,,,20 - 50,0.2,2
,水星,Assassination,Grineer,,,20 - 50,0.2,2
,水星,Assassination,Grineer,,,20 - 50,0.2,2
Odin,水星,Interception,Grineer,/Lotus/Types/Game/GrineerDefenseA,/Lotus/Types/Game/MissionDecks/InterceptionMissionRewards/InterceptionMissionRewardsEasy,20 - 50,0.2,2
Suisei,水星,Capture,Grineer,/Lotus/Types/Game/GrineerSquadFive,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 50,0.2,2
Pantheon,水星,Extermination,Grineer,/Lotus/Types/Game/GrineerSquadTwo,,20 - 50,0.2,2
Verdi,水星,Deception,Grineer,/Lotus/Types/Game/GrineerSquadThree,,20 - 50,0.2,2
,水星,Assassination,Grineer,,,20 - 50,0.2,2
,金星,Assassination,Grineer,,,20 - 40,0.2,0
V Prime,金星,Rescue,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
Ishtar,金星,Capture,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 40,0.2,0
Aphrodite,金星,Capture,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/CaptureMissionRewardsA,20 - 40,0.2,0
Vesper,金星,Spy,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/IntelMissionRewardsA,20 - 40,0.2,0
Cytherean,金星,Extermination,Corpus,/Lotus/Types/Game/CorpusSquadA,,20 - 40,0.2,0
E Gate,金星,Survival,Corpus,/Lotus/Types/Game/CorpusSurvivalA,/Lotus/Types/Game/MissionDecks/SurvivalMissionRewards/SurvivalLowLevelRewards,20 - 40,0.2,0
Linea,金星,Rescue,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/RescueMissionRewards/RescueMissionRewardsEasy,20 - 40,0.2,0
,金星,Assassination,Grineer,,,20 - 40,0.2,0
Fossa,金星,Assassination,Corpus,/Lotus/Types/Game/CorpusSquadA,/Lotus/Types/Game/MissionDecks/BossMissionRewards/RhinoRewards,20 - 40,0.2,1
Conclave,金星,MT_PVP,Corrupted,,,20 - 40,0.2,1
