Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
"/Lotus/StoreItems/Weapons/Tenno/Melee/Brass Knuckles/BrassKnuckles",蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),400,非晶态合金(/Lotus/Types/Items/MiscItems/Morphic),3,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),1200,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),500,43200,15000,45
/Lotus/Levels/ClanDojo/ClanConnectorElbowA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorPlusA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorSmallA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorTJunctionA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanDojoBarracksMoon.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksMountain.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksShadow.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksStorm.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDuelRoomA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,86400,75000,750
/Lotus/Levels/ClanDojo/ClanDuelRoomB.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),80000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),17500,Forma(/Lotus/Types/Items/MiscItems/Forma),15,129600,75000,750
/Lotus/Levels/ClanDojo/ClanDuelRoomC.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),100000,电路(/Lotus/Types/Items/MiscItems/Circuits),35000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),25000,Forma(/Lotus/Types/Items/MiscItems/Forma),20,259200,100000,1500
/Lotus/Levels/ClanDojo/ClanElevatorA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanGrandHallA.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanGrandestHallA.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanGreatHallA.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanGreaterHallA.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanHallA.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanObstacleCourseA.level,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),40000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),15,86400,100000,1000
/Lotus/Levels/ClanDojo/ClanPowerRoomA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,电路(/Lotus/Types/Items/MiscItems/Circuits),35000,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanStorageA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoChallengeRoomA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),25000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),150000,Forma(/Lotus/Types/Items/MiscItems/Forma),4,43200,55000,750
/Lotus/Levels/ClanDojo/DojoConnectorElbow.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorElevator.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorPlus.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorStraight.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorStraightLong.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoConnectorTJunction.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),35000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/DojoDuelRoomA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),15,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),15,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),15,Forma(/Lotus/Types/Items/MiscItems/Forma),0,10,10,10
/Lotus/Levels/ClanDojo/DojoGardenA.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenALarge.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),85000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),75000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),250000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenB.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenC.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenD.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenDLarge.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),85000,聚合物束(/Lotus/Types/Items/MiscItems/PolymerBundle),75000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),250000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenE.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenF.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenFLarge.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),85000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),75000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),250000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenG.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenGLarge.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),85000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),75000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),250000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenH.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenI.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),55000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),200000,Forma(/Lotus/Types/Items/MiscItems/Forma),8,43200,75000,750
/Lotus/Levels/ClanDojo/DojoGardenILarge.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),85000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),75000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),250000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenJLarge.level,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),80000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),80000,生物质(/Lotus/Types/Items/MiscItems/Plastids),1000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenLLarge.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),85000,聚合物束(/Lotus/Types/Items/MiscItems/PolymerBundle),75000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),250000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGardenMLarge.level,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),80000,聚合物束(/Lotus/Types/Items/MiscItems/PolymerBundle),80000,蒂芙尼金属(/Lotus/Types/Items/MiscItems/Rubedo),1000,Forma(/Lotus/Types/Items/MiscItems/Forma),10,43200,100000,750
/Lotus/Levels/ClanDojo/DojoGrandHall.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/DojoGrandestHall.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/DojoGreatHall.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/DojoGreaterHall.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/DojoHall.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),15000,铁氧体(/Lotus/Types/Items/MiscItems/Ferrite),60000,纳米孢子(/Lotus/Types/Items/MiscItems/Nanospores),30000,Forma(/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/DojoPowerRoom.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,电路(/Lotus/Types/Items/MiscItems/Circuits),35000,合金板(/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Forma(/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/FabricatorBase.level,回收金属(/Lotus/Types/Items/MiscItems/Salvage),65000,电路(/Lotus/Types/Items/MiscItems/Circuits),35000,聚合物束(/Lotus/Types/Items/MiscItems/PolymerBundle),35000,Forma(/Lotus/Types/Items/MiscItems/Forma),15,86400,100000,1500
